step,orig_time_cost,time_since_start,runtime0
0,180.7309114933014,5285.272,180.7309114933014
1,155.62978219985962,14849.15,155.62978219985962
2,112.66366934776306,21739.623,112.66366934776306
3,113.68425583839417,54615.81,113.68425583839417
4,214.48462748527527,61414.656,214.48462748527527
5,172.807785987854,67328.637,172.807785987854
6,104.46993279457092,72625.011,104.46993279457092
7,140.2159869670868,81112.974,140.2159869670868
8,116.68771433830261,89900.687,116.68771433830261
9,108.62897443771362,94547.945,108.62897443771362
10,99.26449680328369,100352.002,99.26449680328369
11,99.00515127182007,104730.598,99.00515127182007
12,108.92372441291809,108882.661,108.92372441291809
