step,orig_time_cost,time_since_start,runtime0
0,178.63459396362305,5207.167,178.63459396362305
1,154.33208179473877,14689.848,154.33208179473877
2,110.82984972000122,21518.803,110.82984972000122
3,114.74148511886597,45489.042,114.74148511886597
4,211.1357352733612,52263.436,211.1357352733612
5,178.82623863220215,56585.023,178.82623863220215
6,99.49482154846191,60317.145,99.49482154846191
7,137.94249033927917,68501.822,137.94249033927917
8,174.8756136894226,75867.704,174.8756136894226
9,113.23129224777222,95698.04,113.23129224777222
