step,time_since_start,runtime0,runtime1,runtime2
0,187,86.92287540435791,71.9363443851471,71.95817542076111
1,1312,55.41777205467224,40.40298366546631,40.3985333442688
2,2347,48.522167444229126,35.27050805091858,35.44959807395935
3,3252,46.10023522377014,34.98306202888489,35.42629528045654
4,4205,46.10023522377014,34.98306202888489,35.42629528045654
5,5148,46.10023522377014,34.98306202888489,35.42629528045654
6,6086,46.10023522377014,34.98306202888489,35.42629528045654
7,7051,46.10023522377014,34.98306202888489,35.42629528045654
8,8039,46.10023522377014,34.98306202888489,35.42629528045654
9,9011,46.10023522377014,34.98306202888489,35.42629528045654
10,10006,46.10023522377014,34.98306202888489,35.42629528045654
11,11068,46.10023522377014,34.98306202888489,35.42629528045654
12,12127,46.10023522377014,34.98306202888489,35.42629528045654
13,13200,46.10023522377014,34.98306202888489,35.42629528045654
14,14267,46.10023522377014,34.98306202888489,35.42629528045654
15,15377,46.10023522377014,34.98306202888489,35.42629528045654
16,16523,46.10023522377014,34.98306202888489,35.42629528045654
17,17633,46.10023522377014,34.98306202888489,35.42629528045654
18,18762,46.10023522377014,34.98306202888489,35.42629528045654
19,19829,46.10023522377014,34.98306202888489,35.42629528045654
20,20981,46.10023522377014,34.98306202888489,35.42629528045654
21,21909,46.10023522377014,34.98306202888489,35.42629528045654
22,23107,46.10023522377014,34.98306202888489,35.42629528045654
23,24053,46.10023522377014,34.98306202888489,35.42629528045654
24,25016,46.10023522377014,34.98306202888489,35.42629528045654
25,26210,46.10023522377014,34.98306202888489,35.42629528045654
26,27157,46.10023522377014,34.98306202888489,35.42629528045654
27,28138,46.10023522377014,34.98306202888489,35.42629528045654
28,29076,46.10023522377014,34.98306202888489,35.42629528045654
29,30062,46.10023522377014,34.98306202888489,35.42629528045654
30,31081,46.10023522377014,34.98306202888489,35.42629528045654
31,32167,46.10023522377014,34.98306202888489,35.42629528045654
32,33129,46.10023522377014,34.98306202888489,35.42629528045654
33,34108,46.10023522377014,34.98306202888489,35.42629528045654
34,35122,46.10023522377014,34.98306202888489,35.42629528045654
35,36101,46.10023522377014,34.98306202888489,35.42629528045654
36,37139,46.10023522377014,34.98306202888489,35.42629528045654
37,38210,46.10023522377014,34.98306202888489,35.42629528045654
38,39274,46.10023522377014,34.98306202888489,35.42629528045654
39,40395,46.10023522377014,34.98306202888489,35.42629528045654
40,41457,46.10023522377014,34.98306202888489,35.42629528045654
41,42565,46.10023522377014,34.98306202888489,35.42629528045654
42,43617,46.10023522377014,34.98306202888489,35.42629528045654
43,-1704205610,46.11477565765381,38.2499098777771,39.156381368637085
