sample,qid,runtime
0,Q1,3.034219980239868
0,Q2,0.029755830764770508
0,Q3,0.20491409301757812
0,Q4,0.1926100254058838
0,Q5,0.4459109306335449
0,Q6,0.009681224822998047
0,Q7,0.04798150062561035
0,Q8,0.03973031044006348
0,Q9,0.09223818778991699
0,Q10,0.11708235740661621
0,Q11,0.18190670013427734
0,Q12,0.0019197463989257812
0,Q13,0.00646209716796875
0,Q14,0.04921722412109375
0,Q15,0.006311893463134766
0,Q16,0.04797196388244629
0,Q17,0.24217820167541504
0,Q18,0.16875100135803223
0,Q19,0.008532524108886719
0,Q20,0.004721879959106445
0,Q21,0.09780478477478027
0,Q22,0.05995750427246094
0,Q23,0.22849631309509277
0,Q24,0.010352373123168945
0,Q25,0.6142385005950928
0,Q26,0.5651059150695801
0,Q27,0.23743009567260742
0,Q28,0.04327082633972168
0,Q29,0.0983281135559082
0,Q30,0.07853055000305176
0,Q31,0.16342997550964355
0,Q32,0.01904582977294922
0,Q33,0.10039472579956055
0,Q34,0.010124921798706055
0,Q35,0.003337860107421875
0,Q36,0.003994941711425781
0,Q37,0.07061028480529785
0,Q38,0.07384872436523438
0,Q39,0.040024518966674805
0,Q40,0.01922321319580078
0,Q41,0.01683354377746582
0,Q42,0.012352228164672852
0,Q43,0.030191898345947266
0,Q44,0.027841567993164062
0,Q45,0.02324652671813965
0,Q46,0.02064371109008789
0,Q47,0.0963897705078125
0,Q48,0.09665298461914062
0,Q49,0.292391300201416
0,Q50,0.2410881519317627
0,total,8.327279329299927
1,Q1,2.964860439300537
1,Q2,0.02234649658203125
1,Q3,0.19967222213745117
1,Q4,0.1874992847442627
1,Q5,0.3732171058654785
1,Q6,0.0071201324462890625
1,Q7,0.042224884033203125
1,Q8,0.03949785232543945
1,Q9,0.08525657653808594
1,Q10,0.11066031455993652
1,Q11,0.1737654209136963
1,Q12,0.0018947124481201172
1,Q13,0.0064280033111572266
1,Q14,0.04470348358154297
1,Q15,0.005224466323852539
1,Q16,0.046456098556518555
1,Q17,0.14855241775512695
1,Q18,0.1372058391571045
1,Q19,0.005873918533325195
1,Q20,0.0046234130859375
1,Q21,0.08759689331054688
1,Q22,0.04978799819946289
1,Q23,0.2156200408935547
1,Q24,0.008760452270507812
1,Q25,0.6072037220001221
1,Q26,0.5264246463775635
1,Q27,0.2340693473815918
1,Q28,0.04215836524963379
1,Q29,0.08899235725402832
1,Q30,0.07607293128967285
1,Q31,0.14941787719726562
1,Q32,0.018308401107788086
1,Q33,0.10003209114074707
1,Q34,0.008486747741699219
1,Q35,0.002853870391845703
1,Q36,0.003927707672119141
1,Q37,0.0694730281829834
1,Q38,0.07375073432922363
1,Q39,0.029796600341796875
1,Q40,0.018316268920898438
1,Q41,0.016710281372070312
1,Q42,0.011487007141113281
1,Q43,0.029523134231567383
1,Q44,0.027591943740844727
1,Q45,0.020151138305664062
1,Q46,0.01928997039794922
1,Q47,0.08348393440246582
1,Q48,0.09514403343200684
1,Q49,0.30834341049194336
1,Q50,0.2312929630279541
1,total,7.8611509799957275
2,Q1,2.96699595451355
2,Q2,0.022356033325195312
2,Q3,0.18762540817260742
2,Q4,0.1871776580810547
2,Q5,0.3734397888183594
2,Q6,0.007141828536987305
2,Q7,0.042185306549072266
2,Q8,0.0398256778717041
2,Q9,0.08309769630432129
2,Q10,0.09893369674682617
2,Q11,0.1732633113861084
2,Q12,0.001935720443725586
2,Q13,0.00632023811340332
2,Q14,0.04481172561645508
2,Q15,0.005197048187255859
2,Q16,0.04641532897949219
2,Q17,0.14076900482177734
2,Q18,0.13628864288330078
2,Q19,0.005850076675415039
2,Q20,0.004543304443359375
2,Q21,0.08506345748901367
2,Q22,0.04995441436767578
2,Q23,0.21069025993347168
2,Q24,0.008754730224609375
2,Q25,0.6069076061248779
2,Q26,0.517634391784668
2,Q27,0.23381662368774414
2,Q28,0.04210519790649414
2,Q29,0.08795928955078125
2,Q30,0.07628941535949707
2,Q31,0.15084075927734375
2,Q32,0.018382787704467773
2,Q33,0.09922599792480469
2,Q34,0.00849604606628418
2,Q35,0.002858400344848633
2,Q36,0.003912687301635742
2,Q37,0.07010078430175781
2,Q38,0.07331037521362305
2,Q39,0.029935836791992188
2,Q40,0.018709659576416016
2,Q41,0.016856908798217773
2,Q42,0.011487722396850586
2,Q43,0.029619455337524414
2,Q44,0.027553081512451172
2,Q45,0.020060300827026367
2,Q46,0.019134998321533203
2,Q47,0.08311581611633301
2,Q48,0.0943906307220459
2,Q49,0.28773069381713867
2,Q50,0.2508397102355957
2,total,7.809911489486694
