step,orig_cost,time_since_start,runtime0
0,266.9833090000001,323.809,600.0
1,266.983309,716.041,600.0
2,266.98330899999996,1296.138,600.0
3,266.083817,3637.329,600.0
4,266.083817,-1.0,600.0
