step,orig_time_cost,time_since_start,runtime0
0,138.28790712356567,16030.475,138.28790712356567
1,161.6934952735901,16195.88,161.6934952735901
2,192.93982028961182,16404.871,192.93982028961182
3,161.34305620193481,16575.264,161.34305620193481
4,189.2057065963745,16773.4,189.2057065963745
5,152.1031095981598,16934.408,152.1031095981598
6,172.8718388080597,17116.248,172.8718388080597
7,158.28412628173828,17283.486,158.28412628173828
8,158.6179051399231,20542.537,158.6179051399231
9,159.55268573760986,20705.596,159.55268573760986
10,162.24123859405518,22720.641,162.24123859405518
11,157.07750248908997,22886.978,157.07750248908997
12,170.3519642353058,23066.423,170.3519642353058
13,139.92303848266602,24134.147,139.92303848266602
14,169.76327967643738,41662.063,169.76327967643738
15,153.38972973823547,45497.621,153.38972973823547
16,154.15330696105957,45655.279,154.15330696105957
17,201.1967749595642,47584.684,201.1967749595642
18,159.89622354507446,47753.74,159.89622354507446
19,154.30264544487,47917.254,154.30264544487
20,155.7140829563141,49704.216,155.7140829563141
21,128.94569444656372,51350.516,128.94569444656372
22,138.5851936340332,51495.267,138.5851936340332
23,189.94586539268494,51704.109,189.94586539268494
24,167.407452583313,51882.593,167.407452583313
25,211.1733639240265,52104.777,211.1733639240265
26,180.3152346611023,52295.638,180.3152346611023
27,141.0990171432495,52447.501,141.0990171432495
28,137.54837822914124,52595.574,137.54837822914124
29,209.46746563911438,54433.92,209.46746563911438
30,211.48055291175842,57097.066,211.48055291175842
31,168.54708909988403,58995.522,168.54708909988403
32,153.20403122901917,60769.222,153.20403122901917
33,161.60106205940247,62541.495,161.60106205940247
34,138.38107085227966,64207.869,138.38107085227966
35,145.0431525707245,65937.255,145.0431525707245
36,212.41450595855713,67770.874,212.41450595855713
37,209.9387755393982,69596.52,209.9387755393982
38,207.96870255470276,74209.702,207.96870255470276
39,155.4820158481598,79411.951,155.4820158481598
40,134.94232773780823,82552.708,134.94232773780823
41,166.3728792667389,89852.689,166.3728792667389
42,215.02047967910767,91708.68,215.02047967910767
43,126.0574369430542,96081.773,126.0574369430542
44,137.73402500152588,96223.328,137.73402500152588
45,130.21984338760376,102356.147,130.21984338760376
46,146.15341591835022,102506.06,146.15341591835022
47,124.63984417915344,108304.141,124.63984417915344
48,188.79708409309387,108496.78,188.79708409309387
49,176.19000506401062,112096.934,176.19000506401062
