step,orig_time_cost,time_since_start,runtime0
0,262.68948197364807,13834.649,262.68948197364807
1,282.18669390678406,14120.391,282.18669390678406
2,282.15441727638245,14414.298,282.15441727638245
3,272.3518235683441,14693.338,272.3518235683441
4,274.7688145637512,14975.349,274.7688145637512
5,276.2725179195404,15254.985,276.2725179195404
6,272.67085552215576,15534.413,272.67085552215576
7,275.2936158180237,15816.549,275.2936158180237
8,289.16189336776733,16934.72,289.16189336776733
9,292.33054852485657,19457.763,292.33054852485657
10,248.41827201843262,21239.373,248.41827201843262
11,270.4088227748871,25120.929,270.4088227748871
12,267.03115248680115,25391.289,267.03115248680115
13,271.3717279434204,26786.848,271.3717279434204
14,290.10830187797546,27083.711,290.10830187797546
15,277.0572421550751,27368.253,277.0572421550751
16,275.82482957839966,27650.909,275.82482957839966
17,281.24958062171936,29537.274,281.24958062171936
18,270.4701509475708,31414.376,270.4701509475708
19,283.27976393699646,35611.908,283.27976393699646
20,276.6989178657532,37484.69,276.6989178657532
21,244.90546536445618,39350.816,244.90546536445618
22,274.1148793697357,41841.263,274.1148793697357
23,285.21279311180115,49342.896,285.21279311180115
24,262.8528094291687,51185.498,262.8528094291687
25,278.07093930244446,53677.717,278.07093930244446
26,290.97475504875183,55559.288,290.97475504875183
27,259.29317140579224,57467.299,259.29317140579224
28,270.606143951416,59944.038,270.606143951416
29,299.29408168792725,71236.54,299.29408168792725
30,284.9177882671356,71555.52,284.9177882671356
31,237.5616855621338,74741.842,237.5616855621338
32,265.2092502117157,77243.204,265.2092502117157
33,268.38898158073425,77514.815,268.38898158073425
34,287.43531608581543,79423.656,287.43531608581543
35,272.6264822483063,79841.917,272.6264822483063
36,283.92298555374146,86013.71,283.92298555374146
37,266.7518889904022,87899.889,266.7518889904022
38,277.9750666618347,88181.231,277.9750666618347
39,291.7947909832001,90078.069,291.7947909832001
40,269.36274242401123,91959.422,269.36274242401123
41,275.03030920028687,93843.297,275.03030920028687
42,279.7683684825897,101063.071,279.7683684825897
43,274.65644693374634,104874.561,274.65644693374634
44,227.3326771259308,110163.156,227.3326771259308
