step,orig_time_cost,time_since_start,runtime0
0,265.6443910598755,9258.697,265.6443910598755
1,243.7194664478302,19074.666,243.7194664478302
2,283.81640005111694,25413.077,283.81640005111694
3,232.75982475280762,28183.922,232.75982475280762
4,290.1021411418915,37971.97,290.1021411418915
5,262.92415738105774,40775.957,262.92415738105774
6,251.97497153282166,48551.827,251.97497153282166
7,234.1642026901245,57413.47,234.1642026901245
8,236.52986311912537,75728.675,236.52986311912537
9,240.43006896972656,80020.002,240.43006896972656
10,221.6871268749237,84422.467,221.6871268749237
11,235.9696159362793,94125.59,235.9696159362793
12,256.7761878967285,98284.842,256.7761878967285
13,210.41743302345276,108346.999,210.41743302345276
