sample,qid,runtime
0,Q1,0.018605470657348633
0,Q5,0.44212889671325684
0,Q9,0.21925878524780273
0,Q12,0.07460498809814453
0,Q15,0.11780905723571777
0,Q18,0.02028346061706543
0,Q24,0.8763148784637451
0,Q27,0.05758047103881836
0,Q31,0.27567601203918457
0,Q35,0.20684576034545898
0,Q38,0.0304257869720459
0,Q42,0.21200776100158691
0,Q45,1.1758415699005127
0,Q49,0.21498966217041016
0,Q52,0.3533444404602051
0,Q56,0.21982955932617188
0,Q60,1.8789658546447754
0,Q66,1.1555225849151611
0,Q69,0.3075284957885742
0,Q73,1.824509620666504
0,Q76,0.07276654243469238
0,Q79,0.40972208976745605
0,Q83,0.16913533210754395
0,Q86,1.9663329124450684
0,Q88,1.3035731315612793
0,Q91,0.677335262298584
0,Q94,0.2552511692047119
0,Q97,1.0637826919555664
0,Q100,0.32299375534057617
0,Q103,2.5692200660705566
0,Q106,1.4576480388641357
0,Q109,0.0030062198638916016
0,Q111,0.23016071319580078
0,total,20.183001041412354
1,Q1,0.00921773910522461
1,Q5,0.4144446849822998
1,Q9,0.1366713047027588
1,Q12,0.0765225887298584
1,Q15,0.11081457138061523
1,Q18,0.009369134902954102
1,Q24,0.6022241115570068
1,Q27,0.05457472801208496
1,Q31,0.26253724098205566
1,Q35,0.16446495056152344
1,Q38,0.028689146041870117
1,Q42,0.14576411247253418
1,Q45,1.1099615097045898
1,Q49,0.16115164756774902
1,Q52,0.3350248336791992
1,Q56,0.15334820747375488
1,Q60,1.7814297676086426
1,Q66,1.0201647281646729
1,Q69,0.2898247241973877
1,Q73,1.7427000999450684
1,Q76,0.0727851390838623
1,Q79,0.393139123916626
1,Q83,0.1619882583618164
1,Q86,1.937772274017334
1,Q88,1.1820940971374512
1,Q91,0.5333025455474854
1,Q94,0.25464892387390137
1,Q97,1.0562222003936768
1,Q100,0.32157349586486816
1,Q103,2.4800965785980225
1,Q106,1.413841962814331
1,Q109,0.0029969215393066406
1,Q111,0.22845077514648438
1,total,18.647812128067017
2,Q1,0.009235620498657227
2,Q5,0.4015846252441406
2,Q9,0.13644719123840332
2,Q12,0.07609868049621582
2,Q15,0.10951495170593262
2,Q18,0.009380817413330078
2,Q24,0.6016063690185547
2,Q27,0.05362820625305176
2,Q31,0.2561838626861572
2,Q35,0.1597270965576172
2,Q38,0.028934240341186523
2,Q42,0.1454634666442871
2,Q45,1.0976486206054688
2,Q49,0.16303443908691406
2,Q52,0.3325347900390625
2,Q56,0.1545259952545166
2,Q60,1.7690532207489014
2,Q66,0.9926738739013672
2,Q69,0.2869834899902344
2,Q73,1.715376853942871
2,Q76,0.07248902320861816
2,Q79,0.3943812847137451
2,Q83,0.16173624992370605
2,Q86,1.938699722290039
2,Q88,1.2022976875305176
2,Q91,0.5370073318481445
2,Q94,0.255446195602417
2,Q97,1.0587172508239746
2,Q100,0.3228414058685303
2,Q103,2.48587703704834
2,Q106,1.4110593795776367
2,Q109,0.003062725067138672
2,Q111,0.22838735580444336
2,total,18.57163906097412
