step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,141.744623,360.86,195.25709772109985,190.02647423744202,189.62604570388794
1,122.205365,647.235,173.93699264526367,168.9810667037964,169.09174180030823
2,110.1438,906.509,142.6558768749237,136.73723125457764,136.77663707733154
3,109.923117,2374.685,121.70209312438965,114.53554654121399,116.58728861808777
4,109.448672,6307.995,121.70209312438965,121.70209312438965,
5,107.732084,9605.132,121.70209312438965,121.70209312438965,
6,107.391224,12804.713,121.70209312438965,121.70209312438965,
7,105.569717,25314.912,121.70209312438965,121.70209312438965,
8,105.569717,-1.0,121.70209312438965,,
