step,orig_time_cost,time_since_start,runtime0,runtime1,runtime2
0,274.41868019104004,3720.127,300.8969132900238,331.82576537132263,326.9044258594513
1,264.1814022064209,7708.944,331.82576537132263,331.82576537132263,
2,223.60204696655273,12962.704,261.3093891143799,265.37756967544556,262.23523926734924
3,214.59660577774048,16719.8,262.72360491752625,262.18088960647583,265.37756967544556
4,148.94775462150574,21067.793,170.29789280891418,172.43612432479858,172.0459566116333
5,142.32223463058472,38245.673,169.75545191764832,170.99854803085327,171.74863839149475
6,139.3067901134491,48884.486,170.67995953559875,171.49324226379395,170.92528533935547
7,131.16093707084656,51297.905,147.40618300437927,147.88606667518616,147.42879176139832
8,129.24688720703125,56372.858,147.88606667518616,146.39943718910217,145.66597747802734
9,124.57426261901855,67198.848,147.88606667518616,147.88606667518616,
