step,orig_time_cost,time_since_start,runtime0
0,461.0627634525299,3823.298,800.0
1,417.5756027698517,16248.098,800.0
2,369.9253931045532,21670.481,800.0
3,361.947434425354,26923.233,800.0
4,337.9879651069641,33839.488,800.0
