step,orig_time_cost,time_since_start,runtime0,runtime1,runtime2
0,234.03010439872742,33266.825,260.4233241081238,259.72276735305786,260.3136878013611
1,195.43322920799255,54950.314,257.9197599887848,259.9018487930298,260.1960310935974
2,158.83290934562683,100214.122,260.1960310935974,260.1960310935974,
