step,orig_time_cost,time_since_start,runtime0,runtime1,runtime2
0,305.1468286514282,3745.702,296.62288093566895,294.9001853466034,291.2283067703247
1,276.92778849601746,7855.654,289.0575716495514,288.3251419067383,289.6480350494385
2,213.60881185531616,12556.509,270.36950850486755,270.13369584083557,275.5790967941284
3,203.36497569084167,16139.98,269.3930068016052,273.60988211631775,275.5790967941284
4,164.73427367210388,30676.546,261.1507315635681,261.5878875255585,262.77492594718933
5,148.49307680130005,33411.682,262.77492594718933,262.77492594718933,
6,136.60618495941162,39226.546,144.2334156036377,137.61951994895935,137.3306384086609
7,134.52825355529785,41960.82,144.2334156036377,137.91431760787964,137.9050567150116
8,134.0980944633484,48707.845,144.2334156036377,144.2334156036377,
9,131.9154987335205,62936.739,144.2334156036377,144.2334156036377,
10,129.8748209476471,91175.971,140.59722757339478,141.1637499332428,140.69121980667114
11,128.4618022441864,93662.261,133.19815063476562,133.5128481388092,133.84960794448853
