step,orig_time_cost,time_since_start,runtime0,runtime1,runtime2
0,289.388160943985,3671.636,291.2732093334198,292.0854859352112,289.0479509830475
1,272.67877221107483,7744.132,292.0854859352112,292.0854859352112,
2,158.07366371154785,12741.835,253.2832064628601,256.2041931152344,253.11189222335815
3,150.98773336410522,23986.918,256.2041931152344,256.2041931152344,
4,136.90527939796448,26935.926,161.55951070785522,149.38630723953247,149.61912488937378
5,124.65273547172546,32360.383,137.8690276145935,137.14326071739197,137.6182279586792
6,123.27272891998291,55201.795,137.8690276145935,137.7868709564209,137.82264184951782
7,122.0130467414856,108259.476,137.8690276145935,137.8690276145935,
