step,idxlist,knobs,time_since_start,runtime0
42,"CREATE INDEX IDX_company_name_5 ON COMPANY_NAME (NAME,COUNTRY_CODE);,CREATE INDEX IDX_movie_info_0 ON MOVIE_INFO (MOVIE_ID);,CREATE INDEX IDX_cast_info_15 ON CAST_INFO (PERSON_ID,MOVIE_ID,NOTE);","max_parallel_workers = 20,enable_hashjoin = off,enable_tidscan = off,effective_io_concurrency = 0,max_worker_processes = 0,work_mem = 1024",38070.0,400.0
43,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',38951.0,400.0
44,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',40133.0,400.0
45,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',41093.0,400.0
46,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',42168.0,400.0
47,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',43185.0,400.0
48,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',44310.0,400.0
49,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',45351.0,400.0
50,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',46286.0,400.0
51,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',47236.0,400.0
52,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',48187.0,400.0
53,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',49482.0,400.0
54,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',50609.0,400.0
55,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',51712.0,400.0
56,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',52783.0,400.0
57,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',53828.0,400.0
58,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',54739.0,400.0
59,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',55785.0,400.0
60,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',56736.0,400.0
