step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,CREATE INDEX IDX_CUSTOMER_c ON CUSTOMER (C_MKTSEGMENT);,"seq_page_cost = 1000,work_mem = 32768,random_page_cost = 0,enable_mergejoin = off,shared_buffers = '32GB',max_parallel_workers_per_gather = 10",16.0,300.0,,
1,CREATE INDEX IDX_CUSTOMER_c ON CUSTOMER (C_MKTSEGMENT);,"max_parallel_workers_per_gather = 0,enable_bitmapscan = off,work_mem = 2097152,shared_buffers = '32GB',enable_hashagg = off,enable_mergejoin = off",30.0,300.0,,
2,"CREATE INDEX IDX_CUSTOMER_c ON CUSTOMER (C_MKTSEGMENT);,CREATE INDEX IDX_CUSTOMER_f ON CUSTOMER (C_PHONE);","maintenance_work_mem = 32768,max_parallel_workers = 10,effective_cache_size = 4194304,random_page_cost = 10000,max_parallel_workers_per_gather = 20,max_worker_processes = 0",235.0,300.0,,
3,"CREATE INDEX IDX_CUSTOMER_c ON CUSTOMER (C_MKTSEGMENT);,CREATE INDEX IDX_CUSTOMER_f ON CUSTOMER (C_PHONE);,CREATE INDEX IDX_PART_d ON PART (P_CONTAINER,P_BRAND,P_SIZE);","seq_page_cost = 10000,max_worker_processes = 10,effective_io_concurrency = 10,work_mem = 1024,enable_tidscan = off,max_parallel_workers_per_gather = 4",272.0,300.0,,
4,"CREATE INDEX IDX_CUSTOMER_c ON CUSTOMER (C_MKTSEGMENT);,CREATE INDEX IDX_CUSTOMER_f ON CUSTOMER (C_PHONE);,CREATE INDEX IDX_PART_d ON PART (P_CONTAINER,P_BRAND,P_SIZE);","enable_hashagg = off,shared_buffers = '32GB',temp_buffers = 100,maintenance_work_mem = 32768,work_mem = 262144,hash_mem_multiplier = 10",302.0,300.0,,
5,"CREATE INDEX IDX_CUSTOMER_c ON CUSTOMER (C_MKTSEGMENT);,CREATE INDEX IDX_CUSTOMER_f ON CUSTOMER (C_PHONE);,CREATE INDEX IDX_PART_d ON PART (P_CONTAINER,P_BRAND,P_SIZE);","max_parallel_workers_per_gather = 10,seq_page_cost = 10,hash_mem_multiplier = 1000,force_parallel_mode = on,effective_io_concurrency = 10,temp_buffers = 100000",331.0,300.0,,
6,"CREATE INDEX IDX_CUSTOMER_c ON CUSTOMER (C_MKTSEGMENT);,CREATE INDEX IDX_CUSTOMER_f ON CUSTOMER (C_PHONE);,CREATE INDEX IDX_PART_d ON PART (P_CONTAINER,P_BRAND,P_SIZE);","max_parallel_workers = 4,max_parallel_workers_per_gather = 4,max_worker_processes = 4,enable_indexscan = off,enable_parallel_hash = off,work_mem = 2097152",360.0,300.0,,
7,"CREATE INDEX IDX_CUSTOMER_c ON CUSTOMER (C_MKTSEGMENT);,CREATE INDEX IDX_PART_c ON PART (P_SIZE,P_TYPE);,CREATE INDEX IDX_CUSTOMER_f ON CUSTOMER (C_PHONE);,CREATE INDEX IDX_PART_d ON PART (P_CONTAINER,P_BRAND,P_SIZE);","max_parallel_workers = 20,effective_io_concurrency = 1000,enable_parallel_hash = off,max_parallel_workers_per_gather = 10,effective_cache_size = 4194304,temp_buffers = 10000",429.0,300.0,,
8,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',1041.0,300.0,,
9,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',2084.0,300.0,,
10,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',3098.0,300.0,,
11,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',4144.0,300.0,,
12,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',5243.0,300.0,,
13,"CREATE INDEX IDX_LINEITEM_b ON LINEITEM (L_SHIPDATE,L_DISCOUNT);,CREATE INDEX IDX_ORDERS_c ON ORDERS (O_CUSTKEY);,CREATE INDEX IDX_PART_f ON PART (P_CONTAINER);,CREATE INDEX IDX_ORDERS_h ON ORDERS (O_CUSTKEY,O_ORDERKEY);","enable_tidscan = off,max_worker_processes = 0,work_mem = 2097152,shared_buffers = '4GB',seq_page_cost = 1000,temp_buffers = 100",5436.0,300.0,,
14,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',6248.0,300.0,,
15,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',7148.0,300.0,,
16,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',8089.0,300.0,,
17,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',8997.0,300.0,,
