step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,"CREATE INDEX IDX_CUSTOMER_g ON CUSTOMER (C_CUSTKEY,C_ACCTBAL,C_PHONE);","max_worker_processes = 10,enable_material = off,enable_mergejoin = off,work_mem = 262144,effective_cache_size = 4194304,temp_buffers = 1000",13.0,300.0,,
1,"CREATE INDEX IDX_CUSTOMER_g ON CUSTOMER (C_CUSTKEY,C_ACCTBAL,C_PHONE);","maintenance_work_mem = 32768,temp_buffers = 100,shared_buffers = '1GB',enable_tidscan = off,max_parallel_workers = 0,force_parallel_mode = on",26.0,300.0,,
2,"CREATE INDEX IDX_CUSTOMER_g ON CUSTOMER (C_CUSTKEY,C_ACCTBAL,C_PHONE);","random_page_cost = 100000,maintenance_work_mem = 2097152,temp_buffers = 10000,max_worker_processes = 10,hash_mem_multiplier = 10,enable_hashjoin = off",50.0,300.0,,
3,"CREATE INDEX IDX_LINEITEM_i ON LINEITEM (L_ORDERKEY,L_SUPPKEY);,CREATE INDEX IDX_CUSTOMER_g ON CUSTOMER (C_CUSTKEY,C_ACCTBAL,C_PHONE);","effective_io_concurrency = 10,max_worker_processes = 10,max_parallel_workers = 0,max_parallel_workers_per_gather = 0,shared_buffers = '8GB',work_mem = 262144",164.0,300.0,,
4,"CREATE INDEX IDX_LINEITEM_i ON LINEITEM (L_ORDERKEY,L_SUPPKEY);,CREATE INDEX IDX_CUSTOMER_g ON CUSTOMER (C_CUSTKEY,C_ACCTBAL,C_PHONE);","enable_hashjoin = off,enable_parallel_hash = off,maintenance_work_mem = 2097152,max_parallel_workers = 4,effective_io_concurrency = 10,max_parallel_workers_per_gather = 10",228.0,300.0,,
5,"CREATE INDEX IDX_LINEITEM_i ON LINEITEM (L_ORDERKEY,L_SUPPKEY);,CREATE INDEX IDX_CUSTOMER_g ON CUSTOMER (C_CUSTKEY,C_ACCTBAL,C_PHONE);","effective_cache_size = 65536,max_parallel_workers = 20,enable_parallel_hash = off,hash_mem_multiplier = 1,max_parallel_workers_per_gather = 10,max_worker_processes = 20",291.0,300.0,,
6,"CREATE INDEX IDX_LINEITEM_i ON LINEITEM (L_ORDERKEY,L_SUPPKEY);,CREATE INDEX IDX_PART_a ON PART (P_SIZE);,CREATE INDEX IDX_CUSTOMER_g ON CUSTOMER (C_CUSTKEY,C_ACCTBAL,C_PHONE);","effective_io_concurrency = 100,shared_buffers = '32GB',effective_cache_size = 4194304,max_parallel_workers = 10,random_page_cost = 1000,enable_hashagg = off",588.0,300.0,,
7,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',926.0,300.0,,
8,"CREATE INDEX IDX_LINEITEM_i ON LINEITEM (L_ORDERKEY,L_SUPPKEY);,CREATE INDEX IDX_PART_a ON PART (P_SIZE);,CREATE INDEX IDX_ORDERS_b ON ORDERS (O_ORDERSTATUS);,CREATE INDEX IDX_CUSTOMER_g ON CUSTOMER (C_CUSTKEY,C_ACCTBAL,C_PHONE);","enable_bitmapscan = off,random_page_cost = 0,max_parallel_workers = 0,maintenance_work_mem = 2097152,effective_cache_size = 65536,max_parallel_workers_per_gather = 4",1165.0,300.0,,
9,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',1860.0,300.0,,
10,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',2811.0,300.0,,
11,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',3788.0,300.0,,
12,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',4884.0,300.0,,
13,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',5853.0,300.0,,
14,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',6869.0,300.0,,
15,"CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',7818.0,300.0,,
