step,orig_cost,time_since_start,runtime0
0,266.941843,344.967,600.0
1,266.869335,742.943,600.0
2,266.532686,6953.323,600.0
3,266.007877,15643.226,600.0
4,265.990248,18574.847,600.0
5,265.988156,22575.827,600.0
6,265.988156,-1.0,600.0
