step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,906.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
1,"CREATE INDEX IDX_customer_22 ON CUSTOMER (C_D_ID,C_LAST,C_FIRST);,CREATE INDEX IDX_new_order_6 ON NEW_ORDER (NO_W_ID,NO_D_ID,NO_O_ID);","random_page_cost = 0,order_line_fillfactor = 60,new_order_fillfactor = 60,shared_buffers = '1GB',customer_fillfactor = 80,work_mem = 1024",1690.0,4022.5091393487382,3965.7909494713326,3954.249451346909,91377.0,97391.0,95605.0,9883.0,10035.0,10071.0
2,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,1962.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
3,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,3014.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
4,"CREATE INDEX IDX_customer_22 ON CUSTOMER (C_D_ID,C_LAST,C_FIRST);,CREATE INDEX IDX_new_order_6 ON NEW_ORDER (NO_W_ID,NO_D_ID,NO_O_ID);,CREATE INDEX IDX_customer_20 ON CUSTOMER (C_W_ID,C_ID,C_FIRST);","order_line_fillfactor = 80,enable_seqscan = off,oorder_fillfactor = 60,stock_fillfactor = 30,district_fillfactor = 30,customer_fillfactor = 10",3447.0,5977.423331519608,5218.369446488684,4980.960408796215,37953.0,43003.0,53234.0,6672.0,7644.0,8000.0
5,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,4027.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
6,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,5298.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
7,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,6205.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
8,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,7333.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
9,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,8375.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
10,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,9458.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
11,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,10649.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
12,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,11805.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
13,"CREATE INDEX IDX_order_line_12 ON ORDER_LINE (OL_W_ID,OL_O_ID,OL_I_ID);","stock_fillfactor = 30,item_fillfactor = 60,order_line_fillfactor = 60,effective_io_concurrency = 10,customer_fillfactor = 80,shared_buffers = '32GB'",12693.0,6934.707259896637,6411.033233117935,6248.944731416621,16623.0,17675.0,18332.0,5731.0,6196.0,6357.0
14,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,13106.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
15,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,14084.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
16,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,15020.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
17,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,16212.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
18,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,17128.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
19,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,18258.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
20,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,19357.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
21,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,20529.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
22,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,21580.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
23,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,22497.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
24,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,23531.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
25,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,24637.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
26,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,25795.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
27,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,26948.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
28,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,28064.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
29,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,29131.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
30,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,29131.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
31,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,28800.0,3930.706644644009,3745.748426703745,3664.846771269843,92342.0,96541.0,90679.0,10132.0,10635.0,10870.0
