step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
24,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,21612.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
25,CREATE INDEX IDX_oorder_1 ON OORDER (O_D_ID);,"stock_fillfactor = 80,customer_fillfactor = 40,new_order_fillfactor = 70,temp_buffers = 10000,history_fillfactor = 70,shared_buffers = '4GB'",22303.0,6073.548749706747,5776.773953890201,5392.1157494641375,18395.0,20285.0,21328.0,6544.0,6879.0,7373.0
26,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,22559.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
27,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,23547.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
28,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,24572.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
29,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,25743.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
30,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,26750.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
31,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,27706.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
32,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,28933.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
33,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,28933.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
34,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,28800.0,3616.7544728995194,3547.5999080412075,3505.8630237243988,87181.0,89399.0,99214.0,11011.0,11225.0,11366.0
