step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,"CREATE INDEX IDX_customer_21 ON CUSTOMER (C_D_ID,C_LAST,C_ID);","new_order_fillfactor = 10,customer_fillfactor = 50,district_fillfactor = 70,shared_buffers = '8GB',effective_io_concurrency = 1000,hash_mem_multiplier = 10",305.0,4585.020605157763,4417.529882799246,4721.786288867758,25630.0,27372.0,24139.0,8681.0,9008.0,8428.0
1,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,941.0,4150.364977952329,3729.202983571726,3515.6771985481773,87539.0,95174.0,87591.0,9598.0,10686.0,11332.0
2,"CREATE INDEX IDX_customer_21 ON CUSTOMER (C_D_ID,C_LAST,C_ID);,CREATE INDEX IDX_customer_22 ON CUSTOMER (C_D_ID,C_LAST,C_FIRST);","warehouse_fillfactor = 30,item_fillfactor = 70,shared_buffers = '8GB',customer_fillfactor = 10,work_mem = 32768,oorder_fillfactor = 40",1898.0,5951.428562077935,5014.8943038697225,5307.942535910301,27102.0,36588.0,31019.0,6680.0,7931.0,7492.0
3,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,1898.0,4150.364977952329,3729.202983571726,3515.6771985481773,87539.0,95174.0,87591.0,9598.0,10686.0,11332.0
4,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,2828.0,4150.364977952329,3729.202983571726,3515.6771985481773,87539.0,95174.0,87591.0,9598.0,10686.0,11332.0
5,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,3864.0,4150.364977952329,3729.202983571726,3515.6771985481773,87539.0,95174.0,87591.0,9598.0,10686.0,11332.0
6,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,4877.0,4150.364977952329,3729.202983571726,3515.6771985481773,87539.0,95174.0,87591.0,9598.0,10686.0,11332.0
7,"CREATE INDEX IDX_order_line_12 ON ORDER_LINE (OL_W_ID,OL_O_ID,OL_I_ID);","new_order_fillfactor = 30,warehouse_fillfactor = 70,stock_fillfactor = 40,max_parallel_workers_per_gather = 10,history_fillfactor = 10,shared_buffers = '32GB'",5823.0,5727.800585102817,5316.9836067698325,5491.307289252643,20890.0,23733.0,21205.0,6938.0,7478.0,7238.0
8,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,5823.0,4150.364977952329,3729.202983571726,3515.6771985481773,87539.0,95174.0,87591.0,9598.0,10686.0,11332.0
9,"CREATE INDEX IDX_order_line_12 ON ORDER_LINE (OL_W_ID,OL_O_ID,OL_I_ID);","customer_fillfactor = 90,stock_fillfactor = 10,order_line_fillfactor = 60,enable_parallel_hash = off,temp_buffers = 1000,shared_buffers = '32GB'",7031.0,8124.089406267458,7734.544084313491,7030.849965578947,13355.0,15004.0,16244.0,4898.0,5144.0,5660.0
