step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,"CREATE INDEX IDX_order_line_7 ON ORDER_LINE (OL_D_ID,OL_O_ID);","item_fillfactor = 60,max_parallel_workers_per_gather = 100,order_line_fillfactor = 40,stock_fillfactor = 80,district_fillfactor = 90,oorder_fillfactor = 30",349.0,4371.74466325703,4323.671005366917,4076.6997159690914,85058.0,84622.0,84516.0,9114.0,9215.0,9775.0
1,"CREATE INDEX IDX_order_line_7 ON ORDER_LINE (OL_D_ID,OL_O_ID);","order_line_fillfactor = 30,district_fillfactor = 60,history_fillfactor = 20,stock_fillfactor = 50,enable_hashjoin = off,effective_cache_size = 65536",1070.0,4765.236867650899,4530.247892298023,4331.0866600365325,75754.0,83033.0,83857.0,8360.0,8798.0,9203.0
2,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,1070.0,4186.997173358208,3762.7412292495105,3609.1328656498663,84977.0,100177.0,89730.0,9515.0,10591.0,11042.0
3,"CREATE INDEX IDX_order_line_7 ON ORDER_LINE (OL_D_ID,OL_O_ID);","district_fillfactor = 70,new_order_fillfactor = 60,item_fillfactor = 80,history_fillfactor = 30,max_worker_processes = 20,stock_fillfactor = 20",1461.0,5360.997907948507,4847.404839503703,4889.462843595669,46047.0,53811.0,52060.0,7433.0,8225.0,8154.0
4,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,2323.0,4186.997173358208,3762.7412292495105,3609.1328656498663,84977.0,100177.0,89730.0,9515.0,10591.0,11042.0
5,"CREATE INDEX IDX_order_line_7 ON ORDER_LINE (OL_D_ID,OL_O_ID);,CREATE INDEX IDX_oorder_14 ON OORDER (O_W_ID,O_D_ID,O_ID,O_C_ID);","shared_buffers = '8GB',history_fillfactor = 80,order_line_fillfactor = 30,work_mem = 1024,max_parallel_workers = 4,new_order_fillfactor = 30",3305.0,5051.163739222742,4921.396573542114,4544.001336169157,27897.0,30592.0,35153.0,7871.0,8079.0,8754.0
6,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,3305.0,4186.997173358208,3762.7412292495105,3609.1328656498663,84977.0,100177.0,89730.0,9515.0,10591.0,11042.0
7,"CREATE INDEX IDX_order_line_7 ON ORDER_LINE (OL_D_ID,OL_O_ID);,CREATE INDEX IDX_oorder_14 ON OORDER (O_W_ID,O_D_ID,O_ID,O_C_ID);","random_page_cost = 0,enable_hashjoin = off,seq_page_cost = 1000,stock_fillfactor = 20,max_parallel_workers = 4,enable_memoize = off",3670.0,5334.194826733745,4905.925879596614,4837.027355419796,48915.0,50936.0,52941.0,7472.0,8120.0,8241.0
8,"CREATE INDEX IDX_oorder_12 ON OORDER (O_W_ID,O_ID,O_C_ID);,CREATE INDEX IDX_order_line_7 ON ORDER_LINE (OL_D_ID,OL_O_ID);,CREATE INDEX IDX_oorder_14 ON OORDER (O_W_ID,O_D_ID,O_ID,O_C_ID);","warehouse_fillfactor = 60,stock_fillfactor = 20,max_worker_processes = 4,max_parallel_workers_per_gather = 10,new_order_fillfactor = 40,shared_buffers = '8GB'",3934.0,6909.766175759999,5945.652524908221,5903.249815430639,16331.0,19328.0,20159.0,5757.0,6687.0,6734.0
9,"CREATE INDEX IDX_district_2 ON DISTRICT (D_W_ID,D_ID);",item_fillfactor = 90,4267.0,4186.997173358208,3762.7412292495105,3609.1328656498663,84977.0,100177.0,89730.0,9515.0,10591.0,11042.0
