step,time_since_start,runtime0,runtime1,runtime2
0,325,600.0,,
1,1542,371.98149824142456,401.13341999053955,394.85732197761536
2,2549,174.7234332561493,140.20918679237366,140.3880000114441
3,3700,170.00903987884521,136.1667251586914,135.61768174171448
4,4825,161.55105304718018,127.2656319141388,133.00437188148499
5,5898,161.55105304718018,134.42867302894592,133.64139604568481
6,6973,161.55105304718018,134.42867302894592,133.64139604568481
7,8084,161.55105304718018,132.49628114700317,132.66137099266052
8,9194,161.55105304718018,132.49628114700317,132.66137099266052
9,10312,161.55105304718018,132.49628114700317,132.66137099266052
10,11462,161.55105304718018,132.49628114700317,132.66137099266052
11,12587,161.55105304718018,132.49628114700317,132.66137099266052
12,13781,161.55105304718018,132.49628114700317,132.66137099266052
13,14692,161.55105304718018,132.49628114700317,132.66137099266052
14,15879,161.55105304718018,132.49628114700317,132.66137099266052
15,17057,161.55105304718018,132.49628114700317,132.66137099266052
16,18009,161.55105304718018,132.49628114700317,132.66137099266052
17,19219,161.55105304718018,132.49628114700317,132.66137099266052
18,20128,161.55105304718018,132.49628114700317,132.66137099266052
19,21035,161.55105304718018,133.20119738578796,132.94559955596924
20,21988,161.55105304718018,133.20119738578796,132.94559955596924
21,22897,161.55105304718018,133.20119738578796,132.94559955596924
22,23818,161.55105304718018,133.20119738578796,132.94559955596924
23,24777,159.77074122428894,130.82098126411438,130.5026297569275
24,25741,159.77074122428894,130.82098126411438,130.5026297569275
25,26734,154.853773355484,130.8996922969818,131.13309240341187
26,27697,154.853773355484,130.8996922969818,131.13309240341187
27,28699,154.853773355484,130.8996922969818,131.13309240341187
28,29653,154.853773355484,130.8996922969818,131.13309240341187
29,30617,154.853773355484,130.8996922969818,131.13309240341187
30,31630,154.853773355484,130.8996922969818,131.13309240341187
31,32721,154.853773355484,130.8996922969818,131.13309240341187
32,33800,154.853773355484,130.8996922969818,131.13309240341187
33,34776,154.853773355484,130.8996922969818,131.13309240341187
34,35873,154.853773355484,130.8996922969818,131.13309240341187
35,37030,154.853773355484,130.8996922969818,131.13309240341187
36,38108,154.853773355484,130.8996922969818,131.13309240341187
37,39275,154.853773355484,130.8996922969818,131.13309240341187
38,40381,154.853773355484,130.8996922969818,131.13309240341187
39,41546,154.853773355484,130.8996922969818,131.13309240341187
40,42702,154.853773355484,130.8996922969818,131.13309240341187
41,43791,154.853773355484,130.8996922969818,131.13309240341187
42,44973,154.853773355484,130.8996922969818,131.13309240341187
43,46220,154.853773355484,130.8996922969818,131.13309240341187
44,47339,154.853773355484,130.8996922969818,131.13309240341187
45,48473,154.853773355484,130.8996922969818,131.13309240341187
46,49598,154.853773355484,130.8996922969818,131.13309240341187
47,50773,154.853773355484,130.8996922969818,131.13309240341187
48,52065,154.853773355484,130.8996922969818,131.13309240341187
49,53232,154.853773355484,130.8996922969818,131.13309240341187
50,54414,154.853773355484,130.8996922969818,131.13309240341187
51,55644,154.853773355484,130.8996922969818,131.13309240341187
52,56947,154.853773355484,130.8996922969818,131.13309240341187
53,58125,154.853773355484,130.8996922969818,131.13309240341187
54,59334,154.853773355484,130.8996922969818,131.13309240341187
55,60652,154.853773355484,130.8996922969818,131.13309240341187
56,61827,154.853773355484,130.8996922969818,131.13309240341187
57,63108,152.85043621063232,128.94031739234924,129.22014546394348
58,64426,152.85043621063232,128.94031739234924,129.22014546394348
59,65640,152.85043621063232,128.94031739234924,129.22014546394348
60,66918,149.22682929039001,123.53139472007751,128.00955629348755
61,68196,149.22682929039001,129.4971525669098,129.21060633659363
62,69501,149.22682929039001,129.4971525669098,129.21060633659363
63,70783,149.22682929039001,129.4971525669098,129.21060633659363
64,72089,149.22682929039001,129.4971525669098,129.21060633659363
65,73348,149.22682929039001,129.4971525669098,129.21060633659363
66,74260,149.22682929039001,129.4971525669098,129.21060633659363
67,75168,149.22682929039001,129.4971525669098,129.21060633659363
68,76489,149.22682929039001,129.4971525669098,129.21060633659363
69,77850,149.22682929039001,129.4971525669098,129.21060633659363
70,78760,149.22682929039001,129.4971525669098,129.21060633659363
71,79705,149.22682929039001,129.4971525669098,129.21060633659363
72,81073,149.22682929039001,129.4971525669098,129.21060633659363
73,82381,149.22682929039001,129.4971525669098,129.21060633659363
74,83724,149.22682929039001,129.4971525669098,129.21060633659363
75,84691,149.22682929039001,129.4971525669098,129.21060633659363
76,85628,149.22682929039001,129.4971525669098,129.21060633659363
77,86633,149.22682929039001,129.4971525669098,129.21060633659363
78,87559,149.22682929039001,129.4971525669098,129.21060633659363
79,88469,149.22682929039001,129.4971525669098,129.21060633659363
80,89415,149.22682929039001,129.4971525669098,129.21060633659363
81,90433,149.22682929039001,129.4971525669098,129.21060633659363
82,91406,149.22682929039001,129.4971525669098,129.21060633659363
83,92377,149.22682929039001,129.4971525669098,129.21060633659363
84,93354,149.22682929039001,129.4971525669098,129.21060633659363
85,94309,149.22682929039001,129.4971525669098,129.21060633659363
86,95336,149.22682929039001,129.4971525669098,129.21060633659363
87,96368,149.22682929039001,129.4971525669098,129.21060633659363
88,97387,149.22682929039001,129.4971525669098,129.21060633659363
89,98294,149.22682929039001,129.4971525669098,129.21060633659363
90,99268,149.22682929039001,129.4971525669098,129.21060633659363
91,100389,149.22682929039001,129.4971525669098,129.21060633659363
92,101327,149.22682929039001,129.4971525669098,129.21060633659363
93,102378,149.22682929039001,129.4971525669098,129.21060633659363
94,103403,149.22682929039001,129.4971525669098,129.21060633659363
95,104402,149.22682929039001,129.4971525669098,129.21060633659363
96,105427,147.91042375564575,123.2581377029419,122.47971725463867
97,106371,147.91042375564575,130.04191637039185,129.93145942687988
98,107418,147.91042375564575,130.04191637039185,129.93145942687988
99,108393,147.77313423156738,122.88329100608826,122.69740176200867
100,-1704434521,147.77313423156738,139.5856704711914,139.05649638175964
