sample,qid,runtime
0,Q1,0.016691923141479492
0,Q2,0.0025877952575683594
0,Q5,0.45755672454833984
0,Q6,0.42433762550354004
0,Q9,0.2119903564453125
0,Q10,0.04383516311645508
0,Q12,0.05132913589477539
0,Q13,0.009758234024047852
0,Q15,0.11619734764099121
0,Q16,0.11302375793457031
0,Q18,0.02103734016418457
0,Q19,0.021945476531982422
0,Q24,0.02737879753112793
0,Q25,0.014391899108886719
0,Q27,0.05812835693359375
0,Q28,0.05353736877441406
0,Q31,0.2885432243347168
0,Q32,0.19462871551513672
0,Q35,0.22817444801330566
0,Q36,0.07684612274169922
0,Q38,0.030637502670288086
0,Q39,0.03372955322265625
0,Q42,0.19011664390563965
0,Q43,0.014209270477294922
0,Q45,1.2430198192596436
0,Q46,0.8428852558135986
0,Q49,0.23363018035888672
0,Q50,0.11348438262939453
0,Q52,0.26847362518310547
0,Q53,0.03671836853027344
0,Q56,0.19988417625427246
0,Q57,3.5132339000701904
0,Q60,1.9010801315307617
0,Q61,3.193005084991455
0,Q66,1.2194325923919678
0,Q67,0.22860980033874512
0,Q69,0.2745175361633301
0,Q70,0.19157838821411133
0,Q73,1.9943373203277588
0,Q74,1.2144687175750732
0,Q76,0.07771825790405273
0,Q77,0.06316375732421875
0,Q79,0.47408413887023926
0,Q80,0.2436506748199463
0,Q83,0.19768571853637695
0,Q84,0.13149523735046387
0,Q86,0.3154168128967285
0,Q87,0.18650126457214355
0,Q88,1.4054009914398193
0,Q89,0.28638458251953125
0,Q91,0.545712947845459
0,Q92,0.21578335762023926
0,Q94,0.18028688430786133
0,Q95,0.23564839363098145
0,Q97,0.4065375328063965
0,Q98,0.4677138328552246
0,Q100,0.30850839614868164
0,Q101,0.3861427307128906
0,Q103,0.8614270687103271
0,Q104,0.39821934700012207
0,Q106,1.5651113986968994
0,Q107,0.5399594306945801
0,Q109,0.0028684139251708984
0,Q110,0.10025620460510254
0,Q111,0.16113829612731934
0,Q112,0.21916675567626953
0,total,29.34495449066162
1,Q1,0.008719444274902344
1,Q2,0.002140522003173828
1,Q5,0.4825172424316406
1,Q6,0.43341660499572754
1,Q9,0.15525341033935547
1,Q10,0.035425662994384766
1,Q12,0.0441279411315918
1,Q13,0.008222818374633789
