step,orig_cost,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,4541.647974122227,381.69,3894.3274939755565,3796.0153449794466,3776.2060316366396,70799.0,74019.0,73332.0,10242.0,10503.0,10558.0
1,7761.042791283973,6254.066,6971.411227157051,6511.995144424971,6170.82757471735,49217.0,52848.0,54466.0,5704.0,6106.0,6446.0
2,12479.468288601469,7732.959,12289.749167047865,12258.760672346296,12401.247661794112,24358.0,27419.0,27501.0,3250.0,3257.0,3220.0
3,13461.150246499086,15586.393,13018.035151259204,13116.440217888774,12985.758310764053,22489.0,22224.0,22169.0,3063.0,3045.0,3075.0
4,14270.000516177839,17213.823,13611.963781610943,13266.599364485764,13273.699674256932,16907.0,17629.0,17686.0,2934.0,3010.0,3008.0
