step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
37,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',24977.0,600.0,,
38,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',25943.0,600.0,,
39,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',26886.0,600.0,,
40,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',27906.0,600.0,,
41,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',28860.0,600.0,,
42,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',29770.0,600.0,,
43,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',30683.0,600.0,,
44,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',31659.0,600.0,,
45,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',32654.0,600.0,,
46,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',33497.0,600.0,,
47,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',33559.0,600.0,,
48,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',34474.0,600.0,,
49,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',35378.0,600.0,,
50,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',36279.0,600.0,,
51,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',37213.0,600.0,,
52,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',38194.0,600.0,,
53,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',39142.0,600.0,,
54,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',40077.0,600.0,,
55,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',40497.0,600.0,,
56,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',41054.0,600.0,,
57,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',41961.0,600.0,,
58,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',42979.0,600.0,,
59,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',43238.0,600.0,,
60,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,"shared_buffers = '32GB',shared_preload_libraries='pg_hint_plan'",28800.0,74.3184564113617,74.3184564113617,
