step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,"CREATE INDEX IDX_title_10 ON TITLE (PRODUCTION_YEAR,TITLE);","max_parallel_workers_per_gather = 4,seq_page_cost = 100,enable_tidscan = off,enable_bitmapscan = off,max_parallel_workers = 0,enable_memoize = off",263.0,600.0,,
1,"CREATE INDEX IDX_title_10 ON TITLE (PRODUCTION_YEAR,TITLE);","hash_mem_multiplier = 1,seq_page_cost = 1000,maintenance_work_mem = 262144,enable_hashjoin = off,enable_tidscan = off,enable_parallel_hash = off",522.0,600.0,,
2,"CREATE INDEX IDX_title_10 ON TITLE (PRODUCTION_YEAR,TITLE);","temp_buffers = 100,effective_cache_size = 262144,max_parallel_workers_per_gather = 4,enable_hashjoin = off,force_parallel_mode = on,max_parallel_workers = 20",652.0,600.0,,
3,"CREATE INDEX IDX_title_10 ON TITLE (PRODUCTION_YEAR,TITLE);,CREATE INDEX IDX_cast_info_15 ON CAST_INFO (PERSON_ID,MOVIE_ID,NOTE);","enable_nestloop = off,max_parallel_workers_per_gather = 10,effective_cache_size = 65536,max_worker_processes = 10,maintenance_work_mem = 32768,hash_mem_multiplier = 1000",790.0,56.432228326797485,56.1771183013916,59.59719467163086
4,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',901.0,59.645997524261475,59.606334924697876,
5,"CREATE INDEX IDX_title_10 ON TITLE (PRODUCTION_YEAR,TITLE);,CREATE INDEX IDX_cast_info_15 ON CAST_INFO (PERSON_ID,MOVIE_ID,NOTE);","hash_mem_multiplier = 100,random_page_cost = 1000,work_mem = 2097152,temp_buffers = 100,maintenance_work_mem = 1024,enable_tidscan = off",1234.0,59.59719467163086,59.59719467163086,
6,"CREATE INDEX IDX_title_10 ON TITLE (PRODUCTION_YEAR,TITLE);,CREATE INDEX IDX_company_name_3 ON COMPANY_NAME (ID,NAME);,CREATE INDEX IDX_cast_info_15 ON CAST_INFO (PERSON_ID,MOVIE_ID,NOTE);","enable_indexscan = off,enable_hashagg = off,effective_io_concurrency = 100,hash_mem_multiplier = 1000,work_mem = 2097152,shared_buffers = '1GB'",1357.0,59.59719467163086,59.59719467163086,
7,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',1854.0,59.645997524261475,59.606334924697876,
8,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',2786.0,59.645997524261475,59.606334924697876,
9,"CREATE INDEX IDX_movie_companies_7 ON MOVIE_COMPANIES (COMPANY_ID,COMPANY_TYPE_ID);,CREATE INDEX IDX_cast_info_23 ON CAST_INFO (MOVIE_ID,PERSON_ROLE_ID,ROLE_ID);,CREATE INDEX IDX_cast_info_17 ON CAST_INFO (PERSON_ID,MOVIE_ID,ROLE_ID);","max_parallel_workers_per_gather = 10,enable_indexscan = off,enable_hashagg = off,max_worker_processes = 0,enable_material = off,effective_cache_size = 262144",3317.0,59.59719467163086,59.59719467163086,
