step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);,"enable_hashagg = off,shared_buffers = '1GB',work_mem = 64,effective_cache_size = 4194304,effective_io_concurrency = 1000,max_parallel_workers = 20",156.0,600.0,,
1,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);,"seq_page_cost = 10000,maintenance_work_mem = 2097152,effective_cache_size = 262144,temp_buffers = 10000,max_worker_processes = 4,max_parallel_workers = 10",625.0,600.0,,
2,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);","temp_buffers = 1000,max_parallel_workers = 10,max_worker_processes = 4,random_page_cost = 0,enable_seqscan = off,enable_hashjoin = off",920.0,600.0,,
3,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',920.0,600.0,,
4,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);","max_worker_processes = 20,effective_io_concurrency = 10,work_mem = 32768,maintenance_work_mem = 32768,enable_parallel_hash = off,seq_page_cost = 1000",1195.0,600.0,,
5,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);","max_parallel_workers_per_gather = 4,enable_parallel_hash = off,hash_mem_multiplier = 1000,shared_buffers = '1GB',temp_buffers = 100000,enable_mergejoin = off",1330.0,600.0,,
6,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);,CREATE INDEX IDX_info_type_1 ON INFO_TYPE (INFO);","enable_hashjoin = off,effective_io_concurrency = 100,random_page_cost = 1000,temp_buffers = 10000,max_parallel_workers_per_gather = 20,enable_tidscan = off",1601.0,600.0,,
7,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);,CREATE INDEX IDX_info_type_1 ON INFO_TYPE (INFO);","enable_material = off,shared_buffers = '1GB',effective_cache_size = 262144,enable_parallel_hash = off,enable_indexscan = off,maintenance_work_mem = 262144",1736.0,600.0,,
8,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',1872.0,600.0,,
9,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);,CREATE INDEX IDX_info_type_1 ON INFO_TYPE (INFO);,CREATE INDEX IDX_complete_cast_2 ON COMPLETE_CAST (STATUS_ID);","enable_nestloop = off,work_mem = 262144,shared_buffers = '4GB',effective_io_concurrency = 0,max_worker_processes = 4,max_parallel_workers = 0",2252.0,217.91840362548828,214.33815002441406,214.2576186656952
10,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);,CREATE INDEX IDX_info_type_1 ON INFO_TYPE (INFO);,CREATE INDEX IDX_complete_cast_2 ON COMPLETE_CAST (STATUS_ID);","effective_cache_size = 65536,work_mem = 262144,enable_hashjoin = off,maintenance_work_mem = 1024,hash_mem_multiplier = 10,max_worker_processes = 4",2356.0,217.91840362548828,217.91840362548828,
11,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);,CREATE INDEX IDX_info_type_1 ON INFO_TYPE (INFO);,CREATE INDEX IDX_complete_cast_2 ON COMPLETE_CAST (STATUS_ID);","random_page_cost = 100,max_worker_processes = 10,effective_io_concurrency = 10,max_parallel_workers = 20,maintenance_work_mem = 262144,hash_mem_multiplier = 100",2460.0,163.2771635055542,159.85629272460938,160.11941695213318
12,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);,CREATE INDEX IDX_info_type_1 ON INFO_TYPE (INFO);,CREATE INDEX IDX_complete_cast_2 ON COMPLETE_CAST (STATUS_ID);","seq_page_cost = 10,maintenance_work_mem = 2097152,work_mem = 64,temp_buffers = 100,force_parallel_mode = on,enable_hashjoin = off",2564.0,163.2771635055542,163.2771635055542,
13,"CREATE INDEX IDX_person_info_0 ON PERSON_INFO (PERSON_ID);,CREATE INDEX IDX_keyword_0 ON KEYWORD (ID);,CREATE INDEX IDX_info_type_1 ON INFO_TYPE (INFO);,CREATE INDEX IDX_complete_cast_2 ON COMPLETE_CAST (STATUS_ID);","enable_seqscan = off,enable_material = off,maintenance_work_mem = 2097152,enable_hashagg = off,hash_mem_multiplier = 1000,random_page_cost = 100",2667.0,163.2771635055542,163.2771635055542,
14,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',2800.0,600.0,,
15,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',3797.0,600.0,,
16,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',4729.0,600.0,,
17,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',5641.0,600.0,,
18,"CREATE INDEX IDX_name_2 ON NAME (GENDER);,CREATE INDEX IDX_movie_link_5 ON MOVIE_LINK (LINK_TYPE_ID,LINKED_MOVIE_ID);,CREATE INDEX IDX_cast_info_6 ON CAST_INFO (PERSON_ID,NOTE);,CREATE INDEX IDX_info_type_0 ON INFO_TYPE (ID);","enable_material = off,random_page_cost = 100000,effective_cache_size = 4194304,enable_seqscan = off,effective_io_concurrency = 10,enable_mergejoin = off",6462.0,163.2771635055542,163.2771635055542,
