step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,CREATE INDEX IDX_company_type_1 ON COMPANY_TYPE (KIND);,"enable_material = off,hash_mem_multiplier = 1,maintenance_work_mem = 1024,enable_parallel_hash = off,max_parallel_workers = 10,shared_buffers = '32GB'",100.0,600.0,,
1,CREATE INDEX IDX_company_type_1 ON COMPANY_TYPE (KIND);,"seq_page_cost = 10000,random_page_cost = 100,enable_bitmapscan = off,maintenance_work_mem = 2097152,enable_mergejoin = off,work_mem = 2097152",400.0,600.0,,
2,"CREATE INDEX IDX_cast_info_21 ON CAST_INFO (MOVIE_ID,NOTE,PERSON_ROLE_ID);,CREATE INDEX IDX_company_type_1 ON COMPANY_TYPE (KIND);","effective_io_concurrency = 10,effective_cache_size = 4194304,max_parallel_workers = 0,seq_page_cost = 1000,shared_buffers = '4GB',work_mem = 1024",613.0,600.0,,
3,"CREATE INDEX IDX_cast_info_21 ON CAST_INFO (MOVIE_ID,NOTE,PERSON_ROLE_ID);,CREATE INDEX IDX_company_type_1 ON COMPANY_TYPE (KIND);","random_page_cost = 1000,seq_page_cost = 100,enable_indexscan = off,maintenance_work_mem = 1024,temp_buffers = 10000,max_parallel_workers = 20",691.0,600.0,,
4,CREATE INDEX IDX_aka_title_0 ON AKA_TITLE (MOVIE_ID);,shared_buffers = '32GB',927.0,600.0,,
5,"CREATE INDEX IDX_name_2 ON NAME (GENDER);,CREATE INDEX IDX_cast_info_21 ON CAST_INFO (MOVIE_ID,NOTE,PERSON_ROLE_ID);,CREATE INDEX IDX_company_type_1 ON COMPANY_TYPE (KIND);","effective_cache_size = 65536,shared_buffers = '8GB',random_page_cost = 0,enable_tidscan = off,enable_memoize = off,temp_buffers = 100000",1028.0,600.0,,
6,"CREATE INDEX IDX_name_2 ON NAME (GENDER);,CREATE INDEX IDX_cast_info_21 ON CAST_INFO (MOVIE_ID,NOTE,PERSON_ROLE_ID);,CREATE INDEX IDX_company_type_1 ON COMPANY_TYPE (KIND);","maintenance_work_mem = 1024,enable_bitmapscan = off,hash_mem_multiplier = 10,temp_buffers = 1000,enable_nestloop = off,max_parallel_workers_per_gather = 10",1328.0,56.12999677658081,54.99396109580994,59.15821814537048
7,"CREATE INDEX IDX_name_2 ON NAME (GENDER);,CREATE INDEX IDX_cast_info_21 ON CAST_INFO (MOVIE_ID,NOTE,PERSON_ROLE_ID);,CREATE INDEX IDX_company_type_1 ON COMPANY_TYPE (KIND);","work_mem = 64,shared_buffers = '1GB',enable_seqscan = off,enable_parallel_hash = off,max_parallel_workers_per_gather = 0,enable_hashagg = off",1427.0,59.15821814537048,59.15821814537048,
8,"CREATE INDEX IDX_name_2 ON NAME (GENDER);,CREATE INDEX IDX_cast_info_21 ON CAST_INFO (MOVIE_ID,NOTE,PERSON_ROLE_ID);,CREATE INDEX IDX_company_type_1 ON COMPANY_TYPE (KIND);,CREATE INDEX IDX_title_25 ON TITLE (ID,PRODUCTION_YEAR,KIND_ID,TITLE);","temp_buffers = 1000,max_worker_processes = 10,effective_io_concurrency = 10,maintenance_work_mem = 262144,hash_mem_multiplier = 10,enable_hashagg = off",1528.0,59.15821814537048,59.15821814537048,
9,"CREATE INDEX IDX_name_2 ON NAME (GENDER);,CREATE INDEX IDX_cast_info_21 ON CAST_INFO (MOVIE_ID,NOTE,PERSON_ROLE_ID);,CREATE INDEX IDX_company_type_1 ON COMPANY_TYPE (KIND);,CREATE INDEX IDX_title_25 ON TITLE (ID,PRODUCTION_YEAR,KIND_ID,TITLE);","work_mem = 32768,enable_material = off,random_page_cost = 0,temp_buffers = 100000,enable_hashjoin = off,enable_memoize = off",1726.0,59.15821814537048,59.15821814537048,
