step,time_since_start,runtime0,runtime1,runtime2
0,447,199.12634086608887,166.55633974075317,166.78418731689453
1,1559,170.72540092468262,140.9989333152771,141.08142352104187
2,2854,165.70848774909973,137.9751739501953,136.9211721420288
3,4135,152.78512024879456,125.04724955558777,125.1188895702362
4,5077,152.78512024879456,124.22401332855225,123.73937034606934
5,6384,152.78512024879456,124.22401332855225,123.73937034606934
6,7300,151.97766304016113,131.1192729473114,134.09911394119263
7,8587,148.0739369392395,120.34890747070312,124.36433601379395
8,9890,148.0739369392395,120.34890747070312,124.36433601379395
9,11228,148.0739369392395,120.34890747070312,124.36433601379395
10,12131,129.7397265434265,116.87308883666992,116.69811010360718
11,13469,129.7397265434265,121.299325466156,122.12630534172058
12,14369,129.7397265434265,120.96258163452148,126.5078661441803
13,15282,129.7397265434265,120.96258163452148,126.5078661441803
14,16190,129.7397265434265,120.96258163452148,126.5078661441803
15,17127,129.7397265434265,120.25697803497314,120.84548282623291
16,18133,129.7397265434265,119.99935865402222,125.77104353904724
17,19060,129.7397265434265,119.99935865402222,125.77104353904724
18,20008,129.7397265434265,119.99935865402222,125.77104353904724
19,20934,129.7397265434265,119.99935865402222,125.77104353904724
20,21877,129.7397265434265,119.99935865402222,125.77104353904724
21,22841,129.7397265434265,119.99935865402222,125.77104353904724
22,23822,129.7397265434265,120.06007719039917,120.72243857383728
23,24781,129.7397265434265,120.06007719039917,120.72243857383728
24,25721,129.7397265434265,120.06007719039917,120.72243857383728
25,26678,129.7397265434265,120.06007719039917,120.72243857383728
26,27659,129.7397265434265,119.96767807006836,120.4653434753418
27,28658,129.7397265434265,119.96767807006836,120.4653434753418
28,29678,129.7397265434265,119.96767807006836,120.4653434753418
29,30657,129.7397265434265,119.96767807006836,120.4653434753418
30,31641,129.7397265434265,119.96767807006836,120.4653434753418
31,32636,129.7397265434265,119.96767807006836,120.4653434753418
32,33648,129.7397265434265,119.96767807006836,120.4653434753418
33,34658,129.7397265434265,119.96767807006836,120.4653434753418
34,35699,129.7397265434265,119.96767807006836,120.4653434753418
35,36848,129.7397265434265,119.96767807006836,120.4653434753418
36,37894,129.7397265434265,119.96767807006836,120.4653434753418
37,38981,129.7397265434265,119.96767807006836,120.4653434753418
38,40044,129.7397265434265,119.96767807006836,120.4653434753418
39,41155,129.7397265434265,119.96767807006836,120.4653434753418
40,42268,129.7397265434265,119.96767807006836,120.4653434753418
41,43350,129.7397265434265,119.96767807006836,120.4653434753418
42,44415,129.7397265434265,119.96767807006836,120.4653434753418
43,45503,129.7397265434265,119.96767807006836,120.4653434753418
44,46578,129.7397265434265,119.96767807006836,120.4653434753418
45,47666,129.7397265434265,119.96767807006836,120.4653434753418
46,48778,129.7397265434265,119.96767807006836,120.4653434753418
47,49909,129.7397265434265,119.96767807006836,120.4653434753418
48,51022,129.7397265434265,120.12008237838745,124.93351602554321
49,52133,129.7397265434265,120.12008237838745,124.93351602554321
50,53242,129.7397265434265,120.12008237838745,124.93351602554321
