step,orig_time_cost,time_since_start,runtime0,runtime1,runtime2
0,382.13242506980896,4339.596,380.57137179374695,368.84890508651733,369.3031282424927
1,373.6798231601715,8513.018,342.40334486961365,329.29074001312256,327.29343128204346
2,159.63686180114746,14089.338,160.51503992080688,146.65945625305176,148.05883598327637
3,153.59520840644836,23319.362,160.3353452682495,147.9350471496582,146.4331271648407
4,141.74223399162292,32642.822,152.22971105575562,139.42611646652222,141.630530834198
5,138.38625860214233,40309.375,139.57369375228882,125.70034217834473,125.4346067905426
6,132.82495665550232,44619.647,139.57369375228882,126.07753419876099,126.03391027450562
7,131.07230305671692,47985.518,138.70007634162903,125.86877131462097,125.4788281917572
8,127.95326375961304,109114.023,138.22682237625122,126.15589880943298,126.0031054019928
