step,orig_cost,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,5451.564992527995,391.358,4161.170968201624,4011.193263785638,3968.5468629890374,51002.0,53454.0,53884.0,9578.0,9939.0,10044.0
1,8104.567559413493,3473.915,7286.675238472677,7185.04204711646,6874.252014159738,19556.0,20084.0,21033.0,5457.0,5534.0,5789.0
2,8941.799880225752,4111.574,7525.653040092135,7071.541538727218,7097.870353221223,48859.0,52031.0,51401.0,5281.0,5623.0,5601.0
3,13881.974904198172,6194.567,13811.832040545854,12900.845951788819,12784.035538386926,10438.0,11646.0,11493.0,2886.0,3089.0,3116.0
