step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,224.21042,6277.304,300.0,,
1,211.926676,7050.952,300.0,,
2,207.232879,7789.076,300.0,,
3,198.083067,8521.424,300.0,,
4,195.901513,14344.843,300.0,,
5,187.208217,15041.173,300.0,,
6,182.177548,15716.989,300.0,,
7,177.332078,16380.965,300.0,,
8,172.852085,22275.665,176.16780877113342,174.02116060256958,175.89463758468628
9,170.096912,23592.934,176.16780877113342,176.16780877113342,
10,166.073048,30301.055,173.34618878364563,173.67563772201538,169.52205157279968
11,164.06585,31582.832,166.72975063323975,169.3761088848114,168.25686073303223
12,161.352906,39768.287,169.23363399505615,165.81531715393066,161.6046438217163
13,155.491083,54739.419,169.23363399505615,169.23363399505615,
14,153.233019,62481.955,169.23363399505615,169.23363399505615,
15,150.383409,70749.264,169.23363399505615,169.23363399505615,
16,147.879387,84614.992,169.23363399505615,169.23363399505615,
17,144.067473,94039.615,169.23363399505615,169.23363399505615,
18,141.952968,108556.551,169.23363399505615,169.23363399505615,
19,139.127218,109116.306,169.23363399505615,169.23363399505615,
20,137.755717,109672.562,169.23363399505615,169.23363399505615,
21,137.755717,-1.0,169.23363399505615,,
