step,time_since_start,runtime0,runtime1,runtime2
0,669,554.5255997180939,568.7966949939728,579.0431859493256
1,2284,301.62198066711426,301.23012924194336,301.38851857185364
2,3600,243.53647899627686,237.72131204605103,237.47793292999268
3,4806,243.6213071346283,242.38307571411133,242.6625452041626
4,5947,243.53647899627686,236.76529240608215,236.73549461364746
5,7114,243.53647899627686,225.06160497665405,224.9870171546936
6,8449,243.53647899627686,225.06160497665405,224.9870171546936
7,9778,243.53647899627686,224.84618639945984,224.41381525993347
8,11048,243.39231395721436,224.52755308151245,225.37968230247498
9,12504,243.39231395721436,235.38391065597534,233.97143077850342
10,13753,243.39231395721436,235.38391065597534,233.97143077850342
11,15107,242.6338074207306,223.47624516487122,222.69628739356995
12,16597,239.01283311843872,224.25062131881714,225.07261848449707
13,17940,239.01283311843872,234.4484543800354,234.03916192054749
14,19293,239.01283311843872,234.4484543800354,234.03916192054749
15,20658,239.01283311843872,234.4484543800354,234.03916192054749
16,22077,239.01283311843872,222.93941855430603,223.43991875648499
17,23417,239.01283311843872,222.93941855430603,223.43991875648499
18,24881,239.01283311843872,234.28794860839844,237.51323175430298
19,26278,239.01283311843872,234.28794860839844,237.51323175430298
20,27759,239.01283311843872,234.28794860839844,237.51323175430298
21,29224,239.01283311843872,234.28794860839844,237.51323175430298
22,30650,239.01283311843872,234.28794860839844,237.51323175430298
23,32062,239.01283311843872,234.28794860839844,237.51323175430298
24,33588,239.01283311843872,223.978253364563,233.58261156082153
25,35166,239.01283311843872,223.978253364563,233.58261156082153
26,36659,239.01283311843872,223.978253364563,233.58261156082153
27,38144,239.01283311843872,223.978253364563,233.58261156082153
28,39729,239.01283311843872,223.978253364563,233.58261156082153
29,41321,239.01283311843872,223.978253364563,233.58261156082153
30,42949,239.01283311843872,233.90040850639343,237.1860272884369
31,44699,239.01283311843872,233.90040850639343,237.1860272884369
32,46339,239.01283311843872,233.90040850639343,237.1860272884369
33,47971,239.01283311843872,233.90040850639343,237.1860272884369
34,49620,239.01283311843872,233.90040850639343,237.1860272884369
35,51255,239.01283311843872,233.90040850639343,237.1860272884369
36,52181,239.06540369987488,233.91852235794067,235.10604524612427
37,53960,239.06540369987488,233.91852235794067,235.10604524612427
38,55674,239.06540369987488,233.91852235794067,235.10604524612427
39,57373,239.06540369987488,233.91852235794067,235.10604524612427
40,59022,239.06540369987488,233.91852235794067,235.10604524612427
41,59959,239.06540369987488,233.91852235794067,235.10604524612427
42,61722,239.06540369987488,233.91852235794067,235.10604524612427
43,62714,239.06540369987488,233.91852235794067,235.10604524612427
44,63635,239.06540369987488,233.91852235794067,235.10604524612427
45,64550,239.06540369987488,233.91852235794067,235.10604524612427
46,66251,239.06540369987488,233.91852235794067,235.10604524612427
47,68000,239.06540369987488,233.91852235794067,235.10604524612427
48,68939,239.06540369987488,233.91852235794067,235.10604524612427
49,69849,239.06540369987488,233.91852235794067,235.10604524612427
50,70796,239.06540369987488,233.91852235794067,235.10604524612427
51,71735,239.01652598381042,220.94234991073608,223.06709837913513
52,73460,239.01652598381042,220.94234991073608,223.06709837913513
53,75194,239.01652598381042,220.94234991073608,223.06709837913513
54,77024,239.01652598381042,220.94234991073608,223.06709837913513
55,78000,239.01652598381042,220.94234991073608,223.06709837913513
56,79734,237.866290807724,221.28306531906128,222.50240468978882
57,80710,237.866290807724,221.28306531906128,222.50240468978882
58,81676,237.866290807724,221.28306531906128,222.50240468978882
59,83481,237.866290807724,221.28306531906128,222.50240468978882
60,84382,237.866290807724,221.28306531906128,222.50240468978882
61,85335,237.866290807724,221.28306531906128,222.50240468978882
62,86323,237.866290807724,221.28306531906128,222.50240468978882
63,88080,237.55698609352112,220.34331941604614,221.46663212776184
64,89033,237.55698609352112,220.34331941604614,221.46663212776184
65,89996,237.55698609352112,220.34331941604614,221.46663212776184
66,90986,237.55698609352112,220.34331941604614,221.46663212776184
67,92037,237.55698609352112,220.34331941604614,221.46663212776184
68,93038,237.55698609352112,220.34331941604614,221.46663212776184
69,93959,237.55698609352112,220.34331941604614,221.46663212776184
70,95069,237.55698609352112,220.34331941604614,221.46663212776184
71,95972,237.55698609352112,220.34331941604614,221.46663212776184
72,96947,237.55698609352112,220.34331941604614,221.46663212776184
73,97906,237.55698609352112,220.34331941604614,221.46663212776184
74,98932,237.55698609352112,220.34331941604614,221.46663212776184
75,100012,237.55698609352112,220.34331941604614,221.46663212776184
76,101130,237.55698609352112,220.34331941604614,221.46663212776184
77,102190,237.55698609352112,220.34331941604614,221.46663212776184
78,103239,237.55698609352112,220.34331941604614,221.46663212776184
79,104289,237.55698609352112,220.34331941604614,221.46663212776184
80,105309,237.55698609352112,220.34331941604614,221.46663212776184
81,106474,237.55698609352112,220.34331941604614,221.46663212776184
82,107436,237.55698609352112,220.34331941604614,221.46663212776184
83,108498,237.55698609352112,220.34331941604614,221.46663212776184
84,109596,234.85782933235168,222.00264239311218,228.54230880737305
85,-1706849106,234.85782933235168,234.85782933235168,
