step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,122.373109,5290.332,130.34198451042175,107.73531913757324,106.8518419265747
1,119.93296,7244.966,130.34198451042175,,
2,114.378983,8977.415,108.34766864776611,102.74954438209534,103.064936876297
3,110.74051,9410.288,106.42093753814697,102.39471697807312,103.6026599407196
4,105.659167,9844.887,102.31625938415527,94.97309684753418,94.84284615516663
5,103.106322,12360.16,102.31625938415527,,
6,97.956775,14185.061,96.63060116767883,85.98373293876648,86.00154495239258
7,88.590184,15949.715,80.20909333229065,70.68988871574402,71.78915429115295
8,82.992461,16277.43,77.26372051239014,70.89012265205383,74.26955199241638
9,80.89852,16826.099,77.26372051239014,,
10,78.512048,16910.667,76.63115191459656,67.88544416427612,68.12745642662048
11,76.49582,20309.376,71.03301978111267,64.89108490943909,64.4348075389862
12,69.134883,20604.976,66.22613000869751,58.13739204406738,57.89151692390442
13,66.585071,20869.82,66.22613000869751,,
14,60.643751,21943.646,60.953564405441284,52.2616286277771,52.030357837677
15,58.17316,24474.988,60.37057709693909,51.7916796207428,51.43477749824524
16,56.066817,29987.46,58.07541036605835,49.72368907928467,49.5739221572876
17,53.953592,35877.125,57.21755337715149,49.04397177696228,49.15199327468872
18,51.947361,63991.857,53.18263053894043,45.561755657196045,45.63268828392029
19,49.919829,64113.916,53.18263053894043,,
20,49.02697,80637.132,51.94239068031311,44.410136222839355,44.07602381706238
