step,orig_cost,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,4409.796546459509,402.282,3858.999384365099,3694.8093792454024,3605.7849007834266,63525.0,66253.0,67836.0,10334.0,10793.0,11061.0
1,7986.558025210883,1063.837,8572.913906507723,8642.443246947727,8507.486877928377,60573.0,60776.0,61021.0,4658.0,4620.0,4694.0
2,11209.8148648447,3916.711,9129.720656089656,8936.59266194826,8751.946381507769,13526.0,14055.0,14286.0,4361.0,4458.0,4549.0
3,12043.018225301423,28164.157,11150.099481892044,11015.377638331987,11159.50118573793,21958.0,22464.0,22304.0,3581.0,3624.0,3578.0
