sample,qid,runtime
0,Q1,3.003418207168579
0,Q2,0.1103525161743164
0,Q3,0.20471858978271484
0,Q4,0.19205355644226074
0,Q5,0.4035654067993164
0,Q6,0.009789228439331055
0,Q7,0.048049211502075195
0,Q8,0.03990030288696289
0,Q9,0.09325122833251953
0,Q10,0.11444830894470215
0,Q11,0.1689305305480957
0,Q12,0.001905679702758789
0,Q13,0.0063321590423583984
0,Q14,0.04906487464904785
0,Q15,0.006489753723144531
0,Q16,0.048093557357788086
0,Q17,0.23946499824523926
0,Q18,0.17346930503845215
0,Q19,0.00807952880859375
0,Q20,0.0045735836029052734
0,Q21,0.09849739074707031
0,Q22,0.0645606517791748
0,Q23,0.23273301124572754
0,Q24,0.010521888732910156
0,Q25,0.606173038482666
0,Q26,0.6045687198638916
0,Q27,0.23769712448120117
0,Q28,0.04372739791870117
0,Q29,0.09812259674072266
0,Q30,0.08031749725341797
0,Q31,0.1598801612854004
0,Q32,0.01863837242126465
0,Q33,0.10131120681762695
0,Q34,0.010032176971435547
0,Q35,0.0032682418823242188
0,Q36,0.004176139831542969
0,Q37,0.07102322578430176
0,Q38,0.07379913330078125
0,Q39,0.0412290096282959
0,Q40,0.019424915313720703
0,Q41,0.016774415969848633
0,Q42,0.012015342712402344
0,Q43,0.030178546905517578
0,Q44,0.027876853942871094
0,Q45,0.02344679832458496
0,Q46,0.020530223846435547
0,Q47,0.10045003890991211
0,Q48,0.09635543823242188
0,Q49,0.29287290573120117
0,Q50,0.24147486686706543
0,total,8.3676278591156
1,Q1,2.806690216064453
1,Q2,0.09076404571533203
1,Q3,0.1891002655029297
1,Q4,0.18885207176208496
1,Q5,0.3769357204437256
1,Q6,0.0070972442626953125
1,Q7,0.0419001579284668
1,Q8,0.039385080337524414
1,Q9,0.08433198928833008
1,Q10,0.11243844032287598
1,Q11,0.17484807968139648
1,Q12,0.0018706321716308594
1,Q13,0.006463050842285156
1,Q14,0.04496026039123535
1,Q15,0.005254030227661133
1,Q16,0.04687619209289551
1,Q17,0.14334511756896973
1,Q18,0.13820981979370117
1,Q19,0.005606174468994141
1,Q20,0.004582643508911133
1,Q21,0.0881035327911377
1,Q22,0.051071882247924805
1,Q23,0.22027802467346191
1,Q24,0.008758306503295898
1,Q25,0.603278398513794
1,Q26,0.5234484672546387
1,Q27,0.23455548286437988
1,Q28,0.0424809455871582
1,Q29,0.08845186233520508
1,Q30,0.07637357711791992
1,Q31,0.14983201026916504
1,Q32,0.01808929443359375
1,Q33,0.09967374801635742
1,Q34,0.008403778076171875
1,Q35,0.002935647964477539
1,Q36,0.00404667854309082
1,Q37,0.07025432586669922
1,Q38,0.07374119758605957
1,Q39,0.029939651489257812
1,Q40,0.018423080444335938
1,Q41,0.016798973083496094
1,Q42,0.011165857315063477
1,Q43,0.029402971267700195
1,Q44,0.027491092681884766
1,Q45,0.020415544509887695
1,Q46,0.019154071807861328
1,Q47,0.0875096321105957
1,Q48,0.09545469284057617
1,Q49,0.28745412826538086
1,Q50,0.2519416809082031
1,total,7.768439769744873
2,Q1,2.798159599304199
2,Q2,0.09077763557434082
2,Q3,0.1982879638671875
2,Q4,0.18749690055847168
2,Q5,0.3730754852294922
2,Q6,0.0070760250091552734
2,Q7,0.04203915596008301
2,Q8,0.03983640670776367
2,Q9,0.08360671997070312
2,Q10,0.09921073913574219
2,Q11,0.17195892333984375
2,Q12,0.0018773078918457031
2,Q13,0.006513357162475586
2,Q14,0.04484272003173828
2,Q15,0.005211591720581055
2,Q16,0.04704594612121582
2,Q17,0.13901662826538086
2,Q18,0.136688232421875
2,Q19,0.005579948425292969
2,Q20,0.00447845458984375
2,Q21,0.08510112762451172
2,Q22,0.050966739654541016
2,Q23,0.21452617645263672
2,Q24,0.00879979133605957
2,Q25,0.6027605533599854
2,Q26,0.5125625133514404
2,Q27,0.2339344024658203
2,Q28,0.04200434684753418
2,Q29,0.08807039260864258
2,Q30,0.07659769058227539
2,Q31,0.14123797416687012
2,Q32,0.018059730529785156
2,Q33,0.09972143173217773
2,Q34,0.008390665054321289
2,Q35,0.0028619766235351562
2,Q36,0.0040569305419921875
2,Q37,0.07005167007446289
2,Q38,0.07329630851745605
2,Q39,0.029946088790893555
2,Q40,0.018680572509765625
2,Q41,0.016827821731567383
2,Q42,0.011179685592651367
2,Q43,0.02939152717590332
2,Q44,0.027548789978027344
2,Q45,0.02029132843017578
2,Q46,0.018915176391601562
2,Q47,0.08656167984008789
2,Q48,0.09463238716125488
2,Q49,0.2875208854675293
2,Q50,0.25200366973876953
2,total,7.709279775619507
