step,orig_cost,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,3794.7773888422876,171.514,3358.633083730918,3443.770464761212,3317.7988934944774,149942.0,146392.0,151609.0,11898.0,11601.0,12044.0
1,5999.463863085413,1531.057,5832.678433185437,5542.515430750463,5448.8795546000365,85927.0,88093.0,88620.0,6843.0,7190.0,7326.0
2,6858.291593018593,1965.077,6992.533598376352,6733.6336235533345,6727.721158232972,76122.0,75992.0,75740.0,5712.0,5930.0,5935.0
3,10536.464014199912,5092.006,10502.694089432443,10171.769350845423,10279.447715296243,29313.0,30633.0,31396.0,3801.0,3923.0,3883.0
4,12879.49200174955,16074.177,12914.912403954566,12917.322998052074,12890.236591094817,8815.0,8810.0,8977.0,3091.0,3090.0,3096.0
5,13436.204025788558,17545.628,12879.737781564005,12980.461952294178,13012.760776709907,8961.0,8979.0,8840.0,3100.0,3075.0,3068.0
6,13533.153495582039,18066.652,12892.775041028684,12901.560450268089,12907.880168153159,8723.0,8783.0,8872.0,3096.0,3094.0,3092.0
