step,orig_cost,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,3732.7806063417634,174.148,3212.223428281781,3316.334893735871,3276.6873111527148,161225.0,153658.0,151607.0,12439.0,12051.0,12195.0
1,5866.924882649616,1530.219,6020.325893411058,5536.233157621791,5547.342815166128,86327.0,88015.0,87503.0,6632.0,7210.0,7196.0
2,6865.514129630345,1970.857,6923.687991910176,6791.273577725359,6687.24992216091,76281.0,74977.0,76985.0,5767.0,5879.0,5971.0
3,10567.07768691803,5181.16,10551.695999581554,10159.839672988639,10048.033167708254,29544.0,30844.0,30911.0,3782.0,3928.0,3971.0
4,12887.99239016462,20569.649,12660.926790823982,12683.185449888637,12758.095035222064,9016.0,9032.0,9103.0,3153.0,3146.0,3129.0
5,13396.167766514596,22328.169,12648.059799510402,12728.441102406752,12912.428123711457,8636.0,8514.0,8410.0,3156.0,3136.0,3091.0
