step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,135.543387,8350.094,133.82347178459167,130.0028371810913,126.9082453250885
1,128.657962,8821.969,121.1613245010376,118.14442729949951,119.97588205337524
2,121.421971,9742.104,121.1613245010376,114.53389167785645,114.57619619369507
3,118.750918,10746.809,113.02301096916199,110.63416385650635,112.5691647529602
4,116.203235,11186.085,112.21851849555969,104.74579620361328,103.98248934745789
5,112.755498,11612.887,107.41113543510437,100.25472855567932,99.92229294776917
6,110.558799,12033.547,107.41113543510437,105.41914558410645,105.13229751586914
7,104.831875,22984.153,104.53381586074829,100.05597567558289,100.04241943359375
8,102.712329,24309.676,101.02591371536255,96.91396117210388,97.422043800354
9,100.324118,25087.101,100.53030300140381,95.29793095588684,96.38072657585144
10,95.201945,34732.121,89.71595239639282,87.18839287757874,87.6252269744873
11,92.968734,36326.226,89.71595239639282,89.54744172096252,87.36534023284912
12,90.081471,36686.724,86.39273190498352,82.862229347229,84.34303307533264
13,87.224477,48901.96,85.2369122505188,81.08262634277344,80.88713502883911
14,84.881933,51019.651,85.2369122505188,80.30785775184631,80.30328297615051
15,80.574918,60860.621,77.22021818161011,74.48560237884521,75.13966464996338
16,75.953643,68932.302,74.96151423454285,70.70098233222961,70.61625242233276
17,72.274755,70142.7,71.92024397850037,66.24786591529846,66.55446648597717
18,69.614436,73282.808,67.82977175712585,63.83653378486633,63.90542459487915
19,67.526117,82142.839,67.33705377578735,62.643147230148315,62.330952167510986
20,65.03936,92392.912,66.58806037902832,61.0165331363678,61.03369927406311
21,62.95088,95304.338,62.87235903739929,58.25905656814575,58.145166873931885
22,61.416518,107840.564,61.60618543624878,56.64970397949219,56.5475058555603
23,61.416518,-1.0,61.60618543624878,,
