step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,143.227674,1211.415,151.38081550598145,134.93414449691772,137.08910059928894
1,123.525323,2230.796,123.42348170280457,114.61348819732666,115.89099383354187
2,115.879519,3844.467,123.42348170280457,107.48091530799866,107.22686982154846
3,106.616214,5299.707,114.141845703125,100.09280037879944,101.19733047485352
4,92.273632,8589.39,100.10921788215637,85.4514844417572,85.93171977996826
5,88.548477,11247.764,90.10391759872437,82.38644909858704,83.23934006690979
6,86.184821,13961.277,89.00728917121887,82.33446097373962,82.22400188446045
7,78.161053,21057.376,80.06768918037415,73.08174419403076,72.80904841423035
8,75.637444,23721.605,77.03596544265747,71.0718367099762,70.24904084205627
9,69.750523,25788.405,75.69067978858948,65.66614961624146,65.72588849067688
10,67.628283,35643.18,71.47590780258179,63.02989935874939,63.4384560585022
11,63.581561,37594.829,64.6526415348053,56.6534686088562,56.01092720031738
12,59.456837,38858.742,62.00041484832764,55.13082432746887,55.251909494400024
13,55.809998,45039.551,59.32791543006897,51.44699692726135,52.132513761520386
14,53.625514,46239.626,57.68649911880493,51.026246547698975,50.57778000831604
15,50.134167,54792.666,57.61037230491638,48.62326002120972,48.370330572128296
16,49.988787,104367.693,55.94064807891846,50.546491861343384,48.085381507873535
17,49.988787,-1.0,55.94064807891846,,
