step,orig_cost,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,2027.7493825165172,453.229,2176.096713695011,2221.931202464278,2195.50892242699,414695.0,405758.0,412872.0,18261.0,17898.0,18107.0
1,4016.1406565333186,1080.609,3832.725532500021,3555.2153063721794,3414.888526580976,69199.0,72178.0,73390.0,10413.0,11229.0,11690.0
2,5135.163579297941,13015.932,4850.229723356072,4297.442202819065,4272.284280674136,48313.0,57832.0,58453.0,8219.0,9277.0,9336.0
3,6475.669701960382,15013.163,5324.751070932833,4832.499722617497,4808.800973709382,57512.0,63536.0,64156.0,7475.0,8236.0,8276.0
4,7015.208559307055,25311.462,6023.098306151635,5093.151407677707,4910.112072586416,49959.0,59072.0,60778.0,6602.0,7813.0,8107.0
