step,orig_cost,time_since_start,runtime0,runtime1,runtime2,p990,p991,p992,avg0,avg1,avg2
0,5173.548033184941,422.133,3928.5653003577004,3788.9431139016315,3885.2977006160663,59292.0,60534.0,59733.0,10151.0,10520.0,10259.0
1,6594.981566545784,2250.675,6808.214027903145,6449.780174123507,5472.351130634015,45330.0,47190.0,54003.0,5844.0,6168.0,7275.0
2,7389.216104636211,4451.681,8123.03644797926,7400.123616185819,7083.818004069236,44173.0,49086.0,50924.0,4890.0,5373.0,5609.0
3,13445.908970863316,5368.721,13350.287643338774,13352.274755294671,12882.820255824656,9507.0,9349.0,9852.0,2990.0,2989.0,3097.0
4,13559.61621341383,28127.382,13818.221947447244,13833.355772091709,13754.87598730314,13121.0,13304.0,13422.0,2890.0,2887.0,2903.0
