step,orig_cost,time_since_start,runtime0,runtime1,runtime2
0,152.088665,886.084,158.95638799667358,152.35195684432983,146.5707015991211
1,127.767782,2034.013,128.5155839920044,122.18627119064331,122.07066249847412
2,122.064808,2583.094,122.72526454925537,112.80077004432678,114.01461720466614
3,106.819771,3653.041,106.50350499153137,103.68830299377441,102.31783890724182
4,104.203017,4112.065,109.25814747810364,98.99712872505188,99.2991189956665
5,100.146804,4581.249,100.86952877044678,94.42216324806213,94.17270469665527
6,93.076176,4961.794,98.90977573394775,90.18784213066101,88.53159737586975
7,84.100508,5327.847,84.92030048370361,81.73659682273865,80.37928819656372
8,76.909351,5755.846,82.20800423622131,72.56852006912231,74.68868494033813
9,73.294558,6822.255,77.87141132354736,68.18933153152466,68.4819347858429
10,63.691898,8971.316,69.0798888206482,59.11463499069214,59.21886706352234
11,57.421576,9526.291,64.6773796081543,53.048202991485596,52.61954641342163
12,51.711603,11201.562,58.12683415412903,48.369677782058716,48.02894949913025
13,49.612012,13075.242,56.27088212966919,46.072482109069824,47.45057129859924
14,45.979869,17051.506,57.49535846710205,42.418760776519775,42.251635789871216
15,43.20355,25146.836,55.87219190597534,40.78746199607849,40.657299757003784
16,39.780272,39176.52,51.58282518386841,37.066123485565186,36.60742902755737
17,37.449445,42649.328,49.142231464385986,35.84046721458435,35.63195753097534
18,35.152675,74233.399,47.385196924209595,33.78218412399292,33.30091452598572
19,32.95595,92490.28,45.93289542198181,32.26602530479431,31.53305745124817
20,31.946007,106331.274,50.374605655670166,31.970169067382812,31.476505517959595
