step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,"CREATE INDEX IDX_store_sales_514 ON STORE_SALES (SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_STORE_SK);","max_parallel_workers = 0,shared_buffers = '8GB',random_page_cost = 100000,enable_mergejoin = off,max_parallel_workers_per_gather = 4,enable_bitmapscan = off",30.0,300.0,,
1,"CREATE INDEX IDX_store_sales_514 ON STORE_SALES (SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_STORE_SK);","enable_parallel_hash = off,seq_page_cost = 10,max_parallel_workers = 20,force_parallel_mode = on,max_parallel_workers_per_gather = 4,work_mem = 2097152",34.0,300.0,,
2,"CREATE INDEX IDX_store_sales_514 ON STORE_SALES (SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_STORE_SK);","random_page_cost = 1000,seq_page_cost = 100,effective_cache_size = 65536,shared_buffers = '32GB',work_mem = 2097152,temp_buffers = 100",41.0,300.0,,
3,"CREATE INDEX IDX_store_sales_514 ON STORE_SALES (SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_STORE_SK);","random_page_cost = 0,max_worker_processes = 10,maintenance_work_mem = 1024,work_mem = 1024,max_parallel_workers_per_gather = 0,shared_buffers = '8GB'",44.0,300.0,,
4,"CREATE INDEX IDX_store_sales_514 ON STORE_SALES (SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_STORE_SK);","work_mem = 64,enable_parallel_hash = off,enable_hashjoin = off,effective_io_concurrency = 0,max_parallel_workers_per_gather = 4,max_parallel_workers = 0",48.0,300.0,,
5,"CREATE INDEX IDX_store_sales_304 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_STORE_SK);,CREATE INDEX IDX_store_sales_514 ON STORE_SALES (SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_STORE_SK);","temp_buffers = 1000,work_mem = 1024,max_parallel_workers_per_gather = 10,seq_page_cost = 1000,max_parallel_workers = 10,enable_indexscan = off",139.0,300.0,,
6,"CREATE INDEX IDX_store_sales_304 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_STORE_SK);,CREATE INDEX IDX_store_sales_514 ON STORE_SALES (SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_STORE_SK);","enable_bitmapscan = off,seq_page_cost = 100,temp_buffers = 100000,force_parallel_mode = on,enable_hashjoin = off,maintenance_work_mem = 1024",204.0,300.0,,
7,"CREATE INDEX IDX_store_sales_304 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_STORE_SK);,CREATE INDEX IDX_store_sales_514 ON STORE_SALES (SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_STORE_SK);","work_mem = 262144,random_page_cost = 1000,seq_page_cost = 100,effective_cache_size = 262144,max_parallel_workers_per_gather = 20,enable_hashagg = off",268.0,300.0,,
8,"CREATE INDEX IDX_store_sales_304 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_STORE_SK);,CREATE INDEX IDX_store_sales_514 ON STORE_SALES (SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_STORE_SK);,CREATE INDEX IDX_store_sales_2690 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_TICKET_NUMBER,SS_CDEMO_SK,SS_HDEMO_SK,SS_ADDR_SK,SS_STORE_SK);,CREATE INDEX IDX_store_sales_1755 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_LIST_PRICE,SS_HDEMO_SK,SS_PROMO_SK,SS_WHOLESALE_COST);","hash_mem_multiplier = 10,random_page_cost = 10000,max_parallel_workers_per_gather = 10,effective_cache_size = 4194304,enable_seqscan = off,work_mem = 32768",850.0,300.0,,
9,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',914.0,300.0,,
