step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
10,"CREATE INDEX IDX_store_sales_3450 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_HDEMO_SK,SS_STORE_SK,SS_PROMO_SK);,CREATE INDEX IDX_store_sales_2403 ON STORE_SALES (SS_CUSTOMER_SK,SS_LIST_PRICE,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_0 ON STORE_SALES (SS_SOLD_DATE_SK);,CREATE INDEX IDX_store_sales_154 ON STORE_SALES (SS_ITEM_SK,SS_LIST_PRICE,SS_STORE_SK);","max_parallel_workers_per_gather = 10,effective_cache_size = 65536,enable_parallel_hash = off,hash_mem_multiplier = 10,max_parallel_workers = 4,shared_buffers = '8GB'",1853.0,216.11513471603394,199.23470830917358,202.0027632713318
11,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',1853.0,300.0,,
12,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',2188.0,300.0,,
13,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',2773.0,300.0,,
14,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',2909.0,300.0,,
15,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',3715.0,300.0,,
16,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',4757.0,300.0,,
17,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',5751.0,300.0,,
18,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',6654.0,300.0,,
19,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',6970.0,300.0,,
20,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',7570.0,300.0,,
21,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',8506.0,300.0,,
22,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',9410.0,300.0,,
23,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',9544.0,300.0,,
24,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',10395.0,300.0,,
25,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',11404.0,300.0,,
26,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',12313.0,300.0,,
27,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',12624.0,300.0,,
28,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',13263.0,300.0,,
29,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',14181.0,300.0,,
30,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',14771.0,300.0,,
31,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',15091.0,300.0,,
32,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',16000.0,300.0,,
33,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',16906.0,300.0,,
34,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',17399.0,300.0,,
35,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',17814.0,300.0,,
36,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',18777.0,300.0,,
37,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',18963.0,300.0,,
