step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
0,"CREATE INDEX IDX_store_sales_3935 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_WHOLESALE_COST);","shared_buffers = '32GB',max_parallel_workers_per_gather = 0,seq_page_cost = 10,random_page_cost = 100000,max_parallel_workers = 0,temp_buffers = 100",39.0,300.0,,
1,"CREATE INDEX IDX_store_sales_3935 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_WHOLESALE_COST);","random_page_cost = 100,effective_cache_size = 65536,effective_io_concurrency = 100,shared_buffers = '4GB',temp_buffers = 100000,work_mem = 262144",39.0,205.91114354133606,199.73933243751526,199.59694051742554
2,"CREATE INDEX IDX_customer_81 ON CUSTOMER (C_CURRENT_ADDR_SK,C_FIRST_NAME,C_LAST_NAME);,CREATE INDEX IDX_store_sales_3935 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_957 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_LIST_PRICE,SS_ADDR_SK,SS_PROMO_SK);,CREATE INDEX IDX_store_sales_60 ON STORE_SALES (SS_SALES_PRICE,SS_STORE_SK);","random_page_cost = 100,shared_buffers = '32GB',effective_cache_size = 4194304,max_parallel_workers = 0,effective_io_concurrency = 0,enable_nestloop = off",220.0,205.91114354133606,205.91114354133606,
3,"CREATE INDEX IDX_customer_81 ON CUSTOMER (C_CURRENT_ADDR_SK,C_FIRST_NAME,C_LAST_NAME);,CREATE INDEX IDX_store_sales_3935 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_957 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_LIST_PRICE,SS_ADDR_SK,SS_PROMO_SK);,CREATE INDEX IDX_store_sales_60 ON STORE_SALES (SS_SALES_PRICE,SS_STORE_SK);","random_page_cost = 0,max_worker_processes = 4,work_mem = 262144,max_parallel_workers = 4,shared_buffers = '32GB',hash_mem_multiplier = 10",264.0,205.91114354133606,187.53361916542053,189.12278604507446
4,"CREATE INDEX IDX_customer_81 ON CUSTOMER (C_CURRENT_ADDR_SK,C_FIRST_NAME,C_LAST_NAME);,CREATE INDEX IDX_store_sales_3935 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_957 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_LIST_PRICE,SS_ADDR_SK,SS_PROMO_SK);,CREATE INDEX IDX_store_sales_60 ON STORE_SALES (SS_SALES_PRICE,SS_STORE_SK);","enable_material = off,effective_io_concurrency = 100,enable_bitmapscan = off,max_parallel_workers_per_gather = 10,maintenance_work_mem = 2097152,work_mem = 262144",308.0,205.91114354133606,205.91114354133606,
5,"CREATE INDEX IDX_customer_81 ON CUSTOMER (C_CURRENT_ADDR_SK,C_FIRST_NAME,C_LAST_NAME);,CREATE INDEX IDX_store_sales_3935 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_PROMO_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_957 ON STORE_SALES (SS_SOLD_DATE_SK,SS_CUSTOMER_SK,SS_LIST_PRICE,SS_ADDR_SK,SS_PROMO_SK);,CREATE INDEX IDX_store_sales_60 ON STORE_SALES (SS_SALES_PRICE,SS_STORE_SK);","work_mem = 32768,max_worker_processes = 20,hash_mem_multiplier = 1,maintenance_work_mem = 1024,force_parallel_mode = on,shared_buffers = '4GB'",352.0,205.91114354133606,205.91114354133606,
6,"CREATE INDEX IDX_store_sales_3823 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_186 ON STORE_SALES (SS_CUSTOMER_SK,SS_LIST_PRICE,SS_SALES_PRICE);,CREATE INDEX IDX_store_sales_1556 ON STORE_SALES (SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_WHOLESALE_COST);","effective_cache_size = 4194304,work_mem = 2097152,max_worker_processes = 4,enable_nestloop = off,effective_io_concurrency = 1000,enable_bitmapscan = off",934.0,205.91114354133606,205.91114354133606,
7,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',934.0,205.91114354133606,205.91114354133606,
8,"CREATE INDEX IDX_store_sales_3823 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_186 ON STORE_SALES (SS_CUSTOMER_SK,SS_LIST_PRICE,SS_SALES_PRICE);,CREATE INDEX IDX_store_sales_1556 ON STORE_SALES (SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_WHOLESALE_COST);","max_parallel_workers_per_gather = 20,effective_io_concurrency = 10,enable_indexscan = off,seq_page_cost = 10000,hash_mem_multiplier = 10,force_parallel_mode = on",953.0,205.91114354133606,205.91114354133606,
9,"CREATE INDEX IDX_store_sales_3823 ON STORE_SALES (SS_SOLD_DATE_SK,SS_ITEM_SK,SS_CUSTOMER_SK,SS_TICKET_NUMBER,SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_WHOLESALE_COST);,CREATE INDEX IDX_store_sales_186 ON STORE_SALES (SS_CUSTOMER_SK,SS_LIST_PRICE,SS_SALES_PRICE);,CREATE INDEX IDX_store_sales_1556 ON STORE_SALES (SS_LIST_PRICE,SS_CDEMO_SK,SS_ADDR_SK,SS_STORE_SK,SS_WHOLESALE_COST);","max_parallel_workers = 0,seq_page_cost = 10000,effective_io_concurrency = 0,enable_seqscan = off,max_parallel_workers_per_gather = 20,max_worker_processes = 0",972.0,205.91114354133606,205.91114354133606,
